Jurisdiction,County,HE Compliance,HE Due Date,HE Status details,Adoption Date,COG,6th Cycle Draft,HCD Review Letter,Review Date,Population (2010),Median Income
DESERT HOT SPRINGS,Riverside County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://f.hubspotusercontent30.net/hubfs/4435988/City%20of%20Desert%20Hot%20Springs%20Draft%202021-2029%20Housng%20Element.pdf,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPdZsV2Se3w-oDK5lDCKFBMs4ntEIOEzB8C0mT6SLvPEvB-WAVKz4t6Pz_kDkhcJT_5ddENeyl_mvp3BYRthDI1d3wgYbY4QwyAnJH4f4Q7KxiNDrTI1V5PqDNO7jri9kStIcXvZiBcHT9DDfgWT4bJLTLLrhpQaNgIIIkHgaHn8Spmql2-NKnIZyOG1KsHS6i&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,2/16/2022,25938,"$33,046"
HIDDEN HILLS,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,7/12/2022,SCAG,https://hiddenhillscity.org/wp-content/uploads/DRAFT-Hidden-Hills-6th-HE_2021-10-28_draft.docx,,1/21/2022,1856,"$246,042"
CORONADO,San Diego County,OUT,4/15/2021,Adopted & Reviewed,8/10/2021,SANDAG,https://coronado.ca.us/UserFiles/Servers/Server_746006/File/government/departments/comm%20dev/planning/Coronado_Complete%20HCD%20Submittal%20Draft_03.16.2021.pdf,,11/8/2021,24697,"$108,967"
LA MESA,San Diego County,OUT,4/15/2021,Adopted & Reviewed,8/2/2021,SANDAG,https://www.cityoflamesa.us/DocumentCenter/View/17513/Draft-Housing-Element-07012021,,10/29/2021,57065,"$66,051"
SOLANA BEACH,San Diego County,OUT,4/15/2021,Adopted & Reviewed,4/22/2021,SANDAG,https://www.ci.solana-beach.ca.us/vertical/Sites/%7B840804C2-F869-4904-9AE3-720581350CE7%7D/uploads/FINAL_HCD_Submittal_12.15.2020.pdf,,7/21/2021,12867,"$108,118"
ARCATA,Humboldt County,IN,8/31/2019,Adopted & Reviewed,,HCAOG,,,,17231,"$35,506"
BLUE LAKE,Humboldt County,OUT,8/31/2019,Draft Reviewed,,HCAOG,,,,1253,"$53,929"
EUREKA,Humboldt County,IN,8/31/2019,2nd Draft,,HCAOG,,,,27191,"$42,890"
FERNDALE,Humboldt County,IN,8/31/2019,Adopted & Reviewed,,HCAOG,https://ci.ferndale.ca.us/wp/wp-content/uploads/Ferndale-Draft-Housing-Element-2019.pdf,,,1371,"$50,897"
FORTUNA,Humboldt County,IN,8/31/2019,Adopted & Reviewed,,HCAOG,,,,11926,"$46,193"
HUMBOLDT COUNTY UNINCORPORATED,Humboldt County,IN,8/31/2019,Adopted & Reviewed,,HCAOG,,,,,$0
RIO DELL,Humboldt County,IN,8/31/2019,Adopted & Reviewed,,HCAOG,,,,3368,"$41,071"
TRINIDAD,Humboldt County,CONDITIONAL,8/31/2019,Adopted & Reviewed,,HCAOG,https://trinidad.ca.gov/sites/trinidad.ca.gov/files/library/Trinidad_Final_Adopted_HE_4-14-20_0.pdf,,,367,"$71,667"
ALPINE COUNTY UNINCORPORATED,Alpine County,DUE,,,,HCD,,,,,$0
,Amador County,DUE,9/15/2021,,,HCD,,,,,$0
AMADOR CITY,Amador County,DUE,9/15/2021,,,HCD,,,,185,
IONE,Amador County,DUE,9/15/2021,,,HCD,,,,7918,"$73,036"
JACKSON,Amador County,DUE,9/15/2021,,,HCD,,,,4651,"$53,462"
PLYMOUTH,Amador County,DUE,9/15/2021,,,HCD,,,,1005,"$64,375"
SUTTER CREEK,Amador County,DUE,9/15/2021,,,HCD,,,,2501,"$45,147"
ANGELS CAMP,Calaveras County,IN,6/15/2019,Adopted & Reviewed,,HCD,,,,3836,"$53,622"
CALAVERAS COUNTY UNINCORPORATED,Calaveras County,IN,6/15/2019,Adopted & Reviewed,,HCD,,,,,$0
COLUSA,Colusa County,IN,12/31/2020,Adopted & Reviewed,,HCD,,,,5971,"$51,364"
COLUSA COUNTY UNINCORPORATED,Colusa County,IN,12/31/2020,Adopted & Reviewed,,HCD,,,,,$0
WILLIAMS,Colusa County,IN,12/31/2020,Adopted & Reviewed,,HCD,,,,5123,"$65,580"
WILLOWS,Glenn County,OUT,11/30/2021,2nd Draft,,HCD,,,,6166,"$43,220"
LASSEN COUNTY UNINCORPORATED,Lassen County,IN,"10/15/2021, 12/15/2023",Adopted & Reviewed,,HCD,,,,,$0
SUSANVILLE,Lassen County,IN,"10/15/2021, 12/15/2023",Adopted & Reviewed,,HCD,,,,17947,"$52,488"
MARIPOSA COUNTY UNINCORPORATED,Mariposa County,IN,,Adopted & Reviewed,,HCD,,,,,$0
ALTURAS,Modoc County,IN,,Adopted & Reviewed,,HCD,,,,2827,"$37,917"
MODOC COUNTY UNINCORPORATED,Modoc County,IN,,Adopted & Reviewed,,HCD,,,,,"$45,149"
MAMMOTH LAKES,Mono County,IN,8/15/2019,Adopted & Reviewed,,HCD,,,,8234,"$59,620"
MONO COUNTY UNINCORPORATED,Mono County,IN,8/15/2019,Adopted & Reviewed,,HCD,,,,,$0
GRASS VALLEY,Nevada County,IN,8/15/2019,Adopted & Reviewed,,HCD,,,,12860,"$37,548"
NEVADA CITY,Nevada County,IN,8/15/2019,Adopted & Reviewed,,HCD,,,,3068,"$42,059"
NEVADA COUNTY UNINCORPORATED,Nevada County,IN,8/15/2019,Adopted & Reviewed,,HCD,,,,,$0
TRUCKEE,Nevada County,IN,8/15/2019,Adopted & Reviewed,,HCD,,,,16180,"$97,092"
PLUMAS COUNTY UNINCORPORATED,Plumas County,IN,,Adopted & Reviewed,,HCD,,,,,$0
PORTOLA,Plumas County,IN,,Adopted & Reviewed,,HCD,,,,2104,"$50,956"
ANDERSON,Shasta County,IN,4/15/2020,Adopted & Reviewed,,HCD,,,,9932,"$42,649"
REDDING,Shasta County,IN,4/15/2020,Adopted & Reviewed,,HCD,,,,89861,"$54,278"
SHASTA COUNTY UNINCORPORATED,Shasta County,IN,4/15/2020,Adopted & Reviewed,,HCD,,,,,$0
SHASTA LAKE,Shasta County,IN,4/15/2020,Adopted & Reviewed,,HCD,,,,10164,"$48,902"
LOYALTON,Sierra County,IN,,Adopted & Reviewed,,HCD,,,,769,"$60,852"
SIERRA COUNTY UNINCORPORATED,Sierra County,IN,,Adopted & Reviewed,,HCD,,,,,$0
CORNING,Tehama County,IN,,Adopted & Reviewed,,HCD,,,,7663,"$43,042"
RED BLUFF,Tehama County,IN,,Adopted & Reviewed,,HCD,,,,14076,"$31,450"
TEHAMA,Tehama County,IN,,Adopted & Reviewed,,HCD,,,,418,"$40,139"
TEHAMA COUNTY UNINCORPORATED,Tehama County,IN,,Adopted & Reviewed,,HCD,,,,,$0
TRINITY COUNTY UNINCORPORATED,Trinity County,IN,,Adopted & Reviewed,,HCD,,,,,$0
SONORA,Tuolumne County,IN,,Adopted & Reviewed,,HCD,,,,4903,"$42,446"
TUOLUMNE COUNTY UNINCORPORATED,Tuolumne County,IN,,Adopted & Reviewed,,HCD,,,,,$0
CLEARLAKE,Lake County,IN,8/15/2019,Adopted & Reviewed,,LCCAPC,,,,15250,"$31,551"
LAKE COUNTY UNINCORPORATED,Lake County,IN,8/15/2019,Adopted & Reviewed,,LCCAPC,,,,,$0
LAKEPORT,Lake County,IN,8/15/2019,Adopted & Reviewed,,LCCAPC,,,,4753,"$58,967"
FORT BRAGG,Mendocino County,IN,8/15/2019,Adopted & Reviewed,,MCOG,,,,7273,"$44,276"
MENDOCINO COUNTY UNINCORPORATED,Mendocino County,IN,8/15/2019,Adopted & Reviewed,,MCOG,https://www.mendocinocounty.org/home/showpublisheddocument/38190/637371541454530000,,,,$0
POINT ARENA,Mendocino County,IN,8/15/2019,Adopted & Reviewed,,MCOG,,,,449,"$31,719"
UKIAH,Mendocino County,IN,8/15/2019,Adopted & Reviewed,,MCOG,,,,16075,"$49,889"
WILLITS,Mendocino County,IN,8/15/2019,Adopted & Reviewed,,MCOG,,,,4888,"$35,204"
EL DORADO COUNTY UNINCORPORATED,El Dorado County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,,,,$0
PLACERVILLE,El Dorado County,OUT,5/15/2021,Adopted & Reviewed,,SACOG,,,,10389,"$59,247"
AUBURN,Placer County,IN,5/15/2021,Adopted & Reviewed,,SACOG,"https://www.auburn.ca.gov/DocumentCenter/View/1890/AUBURN_Housing-Element_Public-Review-Draft, https://www.auburn.ca.gov/DocumentCenter/View/2270/AUBURN_Housing-Element-2021",,,13330,"$66,314"
COLFAX,Placer County,IN,5/15/2021,Adopted & Reviewed,,SACOG,https://colfax-ca.gov/wp-admin/admin-ajax.php?juwpfisadmin=false&action=wpfd&task=file.download&wpfd_category_id=139&wpfd_file_id=2254&token=873e5af17ba9d6e1e48c3b77ea3550ae&preview=1,,,1963,"$57,734"
LINCOLN,Placer County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,,,42819,"$88,734"
LOOMIS,Placer County,IN,5/15/2021,Adopted & Reviewed,,SACOG,https://storage.googleapis.com/proudcity/loomisca/uploads/2021/08/08022021.pdf,,,6430,"$83,162"
PLACER COUNTY - UNINCORPORATED TAHOE BASIN,Placer County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,,,,$0
PLACER COUNTY UNINCORPORATED,Placer County,IN,5/15/2021,Adopted & Reviewed,,SACOG,https://www.placer.ca.gov/DocumentCenter/View/50966,,,,$0
ROCKLIN,Placer County,IN,5/15/2021,Adopted & Reviewed,,SACOG,https://www.rocklin.ca.us/sites/main/files/file-attachments/rocklin_2021-2029_housing_element_hcd_submittal_2_5.21.21.pdf?1622590832,,,56974,"$98,566"
ROSEVILLE,Placer County,IN,5/15/2021,Adopted & Reviewed,,SACOG,https://www.roseville.ca.us/UserFiles/Servers/Server_7964838/File/Government/Departments/Development%20Services/Planning/Housing%20Element%202021-2029/Adoption%20Draft%207.8.21.pdf,,,118788,"$89,082"
CITRUS HEIGHTS,Sacramento County,IN,5/15/2021,Adopted & Reviewed,,SACOG,https://www.citrusheights.net/1083/Draft-Housing-Documents,,,83301,"$62,276"
FOLSOM,Sacramento County,IN,5/15/2021,Adopted & Reviewed,,SACOG,http://ascentenvironmental.com/files/7816/0860/1442/Folsom_HE_Backgrnd_Rpt_12.18.20.pdf,,,72203,"$114,405"
ISLETON,Sacramento County,OUT,5/15/2021,Adopted & Reviewed,,SACOG,,,,804,"$36,875"
RANCHO CORDOVA,Sacramento County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,,,64776,"$65,307"
SACRAMENTO,Sacramento County,IN,5/15/2021,Adopted & Reviewed,,SACOG,"https://www.cityofsacramento.org/-/media/Corporate/Files/CDD/Planning/Long-Range/Housing-Element/00_Sac-HE_HCDRevDft_April2021.pdf?la=en, https://sacramento.granicus.com/MetaViewer.php?view_id=22&clip_id=5022&meta_id=640761",,,466488,"$62,335"
LIVE OAK,Sutter County,OUT,5/15/2021,Adopted & Reviewed,,SACOG,,,,8392,"$83,750"
SUTTER COUNTY UNINCORPORATED,Sutter County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,,,,$0
DAVIS,Yolo County,OUT,5/15/2021,Draft Reviewed,,SACOG,"http://documents.cityofdavis.org/Media/Default/Documents/PDF/CDD/Advance-Planning/Housing%20Element%20Update%202021%20-%202029/DRAFT_City_of_Davis_Housing_Element_05032021.pdf, http://documents.cityofdavis.org/Media/Default/Documents/PDF/CDD/Advance-Planning/Housing%20Element%20Update%202021%20-%202029/Final%20HEU%20Documents/Adoption%20Draft%20City%20of%20Davis%20Housing%20Element%20%2008%2002%202021.pdf, http://documents.cityofdavis.org/Media/Default/Documents/PDF/CDD/Advance-Planning/Housing%20Element%20Update%202021%20-%202029/Final%20HEU%20Documents/FINAL%20HEU%20-%20Submitted%20to%20HCD/City%20of%20Davis%20Housing%20Element%2009%2010%202021.pdf",,,65622,"$69,379"
WEST SACRAMENTO,Yolo County,IN,5/15/2021,Adopted & Reviewed,,SACOG,https://www.cityofwestsacramento.org/home/showpublisheddocument?id=11925,,,48744,"$70,699"
WOODLAND,Yolo County,OUT,5/15/2021,2nd Draft,,SACOG,,,,55468,"$69,612"
YOLO COUNTY UNINCORPORATED,Yolo County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,,,,$0
MARYSVILLE,Yuba County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,,,12072,"$44,839"
YUBA COUNTY UNINCORPORATED,Yuba County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,,,,$0
CARLSBAD,San Diego County,IN,4/15/2021,Adopted & Reviewed,,SANDAG,https://cityadmin.carlsbadca.gov/civicax/filebank/blobdload.aspx?BlobID=46483,,,105328,"$110,478"
CHULA VISTA,San Diego County,OUT,4/15/2021,Adopted,8/29/2022,SANDAG,"https://www.chulavistaca.gov/home/showpublisheddocument?id=21741, https://pub-chulavista.escribemeetings.com/filestream.ashx?DocumentId=13009",,,243916,"$81,272"
ENCINITAS,San Diego County,IN,4/15/2021,Adopted & Reviewed,,SANDAG,https://encinitasca.gov/I-Want-To/Housing-Plan-Update/Housing-Update-2021-2029,,,59518,"$116,022"
ESCONDIDO,San Diego County,OUT,4/15/2021,2nd Draft,,SANDAG,https://www.escondido.org/Data/Sites/1/media/PDFs/Planning/HCIS/PublicReviewDraftEscondidoHE3-18-21.pdf,,,143911,"$64,038"
IMPERIAL BEACH,San Diego County,IN,4/15/2021,Adopted & Reviewed,,SANDAG,https://www.imperialbeachca.gov/vertical/sites/%7BF99967EB-BF87-4CB2-BCD5-42DA3F739CA1%7D/uploads/MF_1335_Housing_Element_Update_6th_Cycle_Revised_Draft_HE_with_AFFH_Updated_060721(1).pdf,,,26324,"$53,690"
NATIONAL CITY,San Diego County,IN,4/15/2021,Adopted & Reviewed,,SANDAG,https://www.nationalcityca.gov/home/showpublisheddocument?id=26278,,,58582,"$47,119"
POWAY,San Diego County,OUT,4/15/2021,Draft Reviewed,,SANDAG,https://poway.org/286/General-Plan,,,47811,"$107,902"
SAN DIEGO,San Diego County,IN,4/15/2021,Adopted & Reviewed,,SANDAG,https://www.sandiego.gov/sites/default/files/he-screen-view-smaller.pdf,,,1301617,"$79,673"
SAN DIEGO COUNTY UNINCORPORATED,San Diego County,IN,4/15/2021,Adopted & Reviewed,,SANDAG,https://www.sandiegocounty.gov/content/dam/sdc/pds/GPUpdate2021/Attachment%20E%20-%20Draft%20Housing%20Element%20Clean.pdf,,,,$0
SAN MARCOS,San Diego County,IN,4/15/2021,Adopted & Reviewed,,SANDAG,"https://sanmarcos.generalplan.org/public-draft-housing-element, https://sanmarcos.legistar.com/View.ashx?GUID=4A460AD7-2F73-4C23-953C-1E26A1DDEABC&ID=9605815&M=F",,,83781,"$78,797"
IMPERIAL COUNTY UNINCORPORATED,Imperial County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.icpds.com/assets/planning/2021-2029-Imperial-County-Housing-Element--.pdf,,,,$0
WESTMORLAND,Imperial County,OUT,10/15/2021,NONE,,SCAG,,VenWhittierAdoptedOut011322.pdf,,2225,"$29,730"
BEVERLY HILLS,Los Angeles County,ADOPTED-IN REVIEW,10/15/2021,Adopted,9/29/2022,SCAG,https://www.beverlyhills.org/cbhfiles/storage/files/9143997371323186791/6thCycleHousingPlan-FINAL.pdf http://www.beverlyhills.org/departments/communitydevelopment/housing/2021housingelementupdate/,,,34109,"$106,936"
CARSON,Los Angeles County,OUT,10/15/2021,Adopted,9/12/2022,SCAG,https://ci.carson.ca.us/content/files/pdfs/planning/sr/2021-09-28/ITEM%208A_SR_Housing_Element_SLE%20FINAL.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/lanCarsonAdoptedOut050622.pdf,,91714,"$82,305"
CLAREMONT,Los Angeles County,OUT,10/15/2021,Draft,,SCAG,"https://www.ci.claremont.ca.us/living/draft-housing-element, https://www.ci.claremont.ca.us/home/showpublisheddocument/17481/637750966223700000",rivCoachellaDraftout112421.pdf,,34926,"$101,420"
COMMERCE,Los Angeles County,DUE,10/15/2021,NONE,,SCAG,,,,12823,"$47,518"
COMPTON,Los Angeles County,DUE,10/15/2021,NONE,,SCAG,,rivCoronaDRAFT083021.pdf,,96455,"$52,883"
COVINA,Los Angeles County,OUT,10/15/2021,Adopted,10/19/2022,SCAG,https://covinaca.gov/pc/page/housing-element,lanCudahyDraft121321.pdf,,47796,"$70,780"
DUARTE,Los Angeles County,IN,10/15/2021,Adopted,,SCAG,http://duarte-prod.civica.granicusops.com/civica/filebank/blobdload.asp?BlobID=28473,,,21321,"$75,083"
HUNTINGTON PARK,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.hpca.gov/DocumentCenter/View/9205/2021-2029-Draft-Housing-Element-Update,,,58114,"$42,447"
INDUSTRY,Los Angeles County,OUT,10/15/2021,2nd Draft,,SCAG,https://www.cityofindustry.org/home/showpublisheddocument/8085/637695600224800000,,,219,"$89,583"
IRWINDALE,Los Angeles County,DUE,10/15/2021,NONE,,SCAG,,,,1422,"$72,500"
LA CAÑADA FLINTRIDGE,Los Angeles County,OUT,10/15/2021,Adopted,10/7/2022,SCAG,https://cityoflcf.org/wp-content/uploads/2021/03/HousingSafetyWorkshop1.pdf,oraLaHabraDraftOUT110121.pdf,,20246,"$175,788"
LA MIRADA,Los Angeles County,OUT,10/15/2021,Draft,,SCAG,,OraLaPalmaAdoptedOut011022.pdf,,48527,"$95,685"
LANCASTER,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.cityoflancasterca.org/home/showpublisheddocument/43193/637601381521870000,,,156633,"$55,237"
LYNWOOD,Los Angeles County,ADOPTED-IN REVIEW,10/15/2021,Adopted,,SCAG,http://lynwood.ca.us/wp-content/uploads/2021/07/Lynwood-HEU-Draft-Document-7.19.21-Public-Version.pdf,,,69772,"$52,213"
MANHATTAN BEACH,Los Angeles County,OUT,10/15/2021,Adopted,9/23/2022,SCAG,https://www.manhattanbeach.gov/home/showpublisheddocument/48230/637703139130300000,http://www.hcd.ca.gov/community-development/housing-element/docs/LanManhattanBeachAdoptedOut060322.pdf,,35135,"$153,023"
MAYWOOD,Los Angeles County,OUT,10/15/2021,Adopted,10/17/2022,SCAG,https://www.cityofmaywood.com/DocumentCenter/View/1082,https://www.hcd.ca.gov/sites/default/files/docs/planning-and-community/housing-element/lanMaywood-DraftOut090722.pdf,,27395,"$44,241"
NORWALK,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.norwalk.org/home/showpublisheddocument/26115/637707484666170000,,,105549,"$70,667"
ROLLING HILLS,Los Angeles County,OUT,10/15/2021,Adopted,9/28/2022,SCAG,https://www.rolling-hills.org/RollingHillsHCDDraftHousingElement-120321.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/madRollingHillsdraft7212022.pdf,,1860,"$250,000"
SAN GABRIEL,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.sangabrielcity.com/DocumentCenter/View/15244/San-Gabriel-Housing-Element-Public-Review-Draft,,,39718,"$62,541"
SOUTH EL MONTE,Los Angeles County,ADOPTED-IN REVIEW,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityofsouthelmonte.org/DocumentCenter/View/2322,lanSouthGateDraftOut121021.pdf,,20116,"$52,204"
WEST COVINA,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.westcovina.org/departments/community-development/planning-division/general-plan/housing-element-update,lanWestHollywoodDraftallfindings120321.pdf,,106098,"$82,938"
WEST HOLLYWOOD,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,http://wehohousing.rinconconsultants.com/wp-content/uploads/2021/07/Draft-Housing-Element.pdf,,,34399,"$74,044"
WESTLAKE VILLAGE,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://wlv.org/DocumentCenter/View/2348,,,8270,"$140,850"
ALISO VIEJO,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://avcity.org/DocumentCenter/View/1685,oraAnaheimdraftoutADUOrdinance121421.pdf,,47823,"$112,689"
ANAHEIM,Orange County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.anaheim.net/5998/2021-2029-Draft-Housing-Elementhttps://www.anaheim.net/DocumentCenter/View/38745/,sbdAppleValleyDraftOut121321.pdf,,336265,"$71,763"
BUENA PARK,Orange County,OUT,10/15/2021,Adopted,9/21/2022,SCAG,"http://www.buenapark.com/city-departments/community-development/planning-division/2021-housing-element-update, http://www.buenapark.com/city-departments/community-development/planning-division/2021-housing-element-update",,,80530,"$78,932"
FULLERTON,Orange County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://housing-game-plan-fullertoncagis.hub.arcgis.com/https://housing-game-plan-fullertoncagis.hub.arcgis.com/documents/fullerton-draft-2021-2029-housing-element,,,135161,"$79,978"
GARDEN GROVE,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,"https://ggcity.org/sites/default/files/2021-07/PRD20212029HE.pdf, https://ggcity.org/sites/default/files/2021-07/PRD20212029HE2.pdf, https://ggcity.org/sites/default/files/2021-10/dhe10_2021.pdf",,,170883,"$69,278"
LA PALMA,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityoflapalma.org/DocumentCenter/View/10996,lanLaPuente6thdraft012122.pdf,,15568,"$107,724"
LAGUNA NIGUEL,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityoflagunaniguel.org/DocumentCenter/View/20495/Laguna-Niguel-2021-Housing-Element_2021-05-16_draft,,,62979,"$108,537"
MISSION VIEJO,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,"https://cityofmissionviejo.org/sites/default/files/mv-he-3-31-21-staff-report-and-presenation.pdf, https://cityofmissionviejo.org/sites/default/files/6-8-21-cc-agenda-report.pdf",lanMonroviaDraftOUT121721.pdf,,93305,"$118,477"
ORANGE COUNTY UNINCORPORATED,Orange County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://ocds.ocpublicworks.com/sites/ocpwocds/files/2021-09/First_Draft_of_the_Housing_Element_Update_Clean_Version_9_16_2021.pdf,venOxnardAdoptedOut011022.pdf,,,$0
VILLA PARK,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,http://villapark.org/Portals/0/Documents/Departments/Planning/Villa%20Park%202021%20Housing%20Element_2020-12-18_HCD%20draft.pdf?ver=2020-12-21-171035-807,,,5812,"$165,000"
BANNING,Riverside County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://banningca.gov/DocumentCenter/View/9156/Banning-Draft-Housing-Element_with-appendices_072221,,,29603,"$42,274"
BEAUMONT,Riverside County,OUT,10/15/2021,Adopted,10/18/2022,SCAG,https://www.beaumontca.gov/DocumentCenter/View/37079/Draft-Housing-Element---2021-2029---6th-Cycle,http://www.hcd.ca.gov/community-development/housing-element/docs/rivBeaumontDraft062722.pdf,,36877,"$84,105"
BLYTHE,Riverside County,DUE,10/15/2021,NONE,,SCAG,,,,20817,"$45,385"
CATHEDRAL CITY,Riverside County,ADOPTED-IN REVIEW,10/15/2021,Adopted,,SCAG,https://www.cathedralcity.gov/home/showpublisheddocument/10379/637592773944670000,,,51200,"$46,521"
COACHELLA,Riverside County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.coachella.org/services/document-central/-folder-165,,,40704,"$34,224"
INDIAN WELLS,Riverside County,ADOPTED-IN REVIEW,10/15/2021,Adopted & Reviewed,,SCAG,https://indianwells.generalplan.org/s/Indian-Wells-Public-Draft-Housing-Element_Deliver.pdf,,,4958,"$107,500"
PALM DESERT,Riverside County,OUT,10/15/2021,Adopted,10/12/2022,SCAG,https://www.cityofpalmdesert.org/home/showpublisheddocument/31356/637668817904600000,http://www.hcd.ca.gov/community-development/housing-element/docs/RivPalmDesertAdoptedOut060222.pdf,,48445,"$59,977"
PALM SPRINGS,Riverside County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://destinyhosted.com/palmsdocs/2021/PLAN/20210714_1319/3180_Item_6A_-_Draft_Housing_Element_2021-2029.pdf,lanPalmdale6thDraftOUT111521.pdf,,44552,"$53,441"
TEMECULA,Riverside County,OUT,10/15/2021,Adopted,10/17/2022,SCAG,https://temeculaca.gov/DocumentCenter/View/12001,http://www.hcd.ca.gov/community-development/housing-element/docs/rivTemecula6thCycleAdoptedOUT041122.pdf,,100097,"$96,183"
WILDOMAR,Riverside County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityofwildomar.org/UserFiles/Servers/Server_9894739/File/Government/Departments/Planning/Cumulative%20Dev%20Project%20Spreadsheet-Combined%201-1-2020/2021/Documents/WildomarHousingElement-Public%20Review%20Draft%205-21-21.pdf,,,32176,"$74,991"
ADELANTO,San Bernardino County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.ci.adelanto.ca.us/DocumentCenter/View/1772/Adelanto-032-Housing-Element,LanAgouraHillsDraftOut011122.pdf,,31765,"$45,380"
FONTANA,San Bernardino County,OUT,10/15/2021,2nd Draft,,SCAG,"https://www.fontana.org/DocumentCenter/View/34894/Fontana_Complete-Draft-Housing-Element_4192021, https://www.fontana.org/housingelement",oraFountainValleyDraftOut121321.pdf,,196069,"$72,918"
GRAND TERRACE,San Bernardino County,OUT,10/15/2021,Draft Reviewed,,SCAG,http://grandterracecityca.iqm2.com/Citizens/FileOpen.aspx?Type=4&ID=6935,,,12040,"$71,788"
SAN BERNARDINO,San Bernardino County,DUE,10/15/2021,NONE,,SCAG,,,,209924,"$45,834"
SAN BERNARDINO COUNTY UNINCORPORATED,San Bernardino County,OUT,10/15/2021,Adopted,9/29/2022,SCAG,http://www.sbcounty.gov/uploads/LUS/HousingPlans/CWP_PolicyPlan_HE_2021_Nov_draft.pdf,venVenturaCityDraft101121.pdf,,,$0
UPLAND,San Bernardino County,OUT,10/15/2021,Adopted,10/25/2022,SCAG,https://www.uplandca.gov/uploads/files/DevelopmentServices/Housing%20Element%20Update%202021-2029/Upland%206th%20Housing%20Element_2021-09-15_draft.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/sbdUplandDraftOUT052322.pdf,,73732,"$72,782"
VICTORVILLE,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.victorvilleca.gov/home/showpublisheddocument/6685/637607697299070000           https://www.victorvilleca.gov/home/showpublisheddocument/6687/637607697306830000                 https://www.victorvilleca.gov/home/showpublisheddocument/6689/637607697308530000           https://www.victorvilleca.gov/home/showpublisheddocument/6691/637607697309930000,oraVillaParkAdopt010622.pdf,,115903,"$53,957"
CAMARILLO,Ventura County,OUT,10/15/2021,Adopted,10/24/2022,SCAG,https://camarillohousingelement.com/wp-content/uploads/2021/05/02-Draft-2021-29-HEU-Camarillo-Cycle-6-HE.pdf,,,65201,"$93,512"
FILLMORE,Ventura County,DUE,10/15/2021,NONE,,SCAG,,,,15002,"$76,590"
OJAI,Ventura County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://drive.google.com/file/d/1mDO0lC7fbGktKj1jWnMJIJ2dQ49Y0Ll_/view,,,7461,"$73,605"
SANTA PAULA,Ventura County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.mysantapaula.com/uploads/1/1/9/8/119843127/2029_he_update__draft__08.2021__v8.16_.pdf,,,29321,"$60,468"
