,Jurisdiction,County,HE Compliance,HE Due Date,HE Status details,Adoption Date,COG,6th Cycle Draft,HCD Review Letter,Review Date,Population (2010),Median Income,geo_location,loc,point,lat,lon,altitude,display_location
108,IRVINE,Orange County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://legacy.cityofirvine.org/civica/filebank/blobdload.asp?BlobID=33368, https://www.cityofirvine.org/housing-element-update",http://www.hcd.ca.gov/community-development/housing-element/docs/oraIrvineAdoptedIN052422.pdf,5/24/2022,212375.0,"$105,126",IRVINE Orange County CA,"Irvine, CA, USA","(33.6845673, -117.8265049, 0.0)",33.6845673,-117.8265049,0.0,Irvine in Orange County
109,PICO RIVERA,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.pico-rivera.org/depts/ced/planning/housing_element/default.asp,http://www.hcd.ca.gov/community-development/housing-element/docs/LanPicoRiveraDraftOut052322.pdf,5/23/2022,62942.0,"$67,636",PICO RIVERA Los Angeles County CA,"Pico Rivera, CA, USA","(33.9830688, -118.096735, 0.0)",33.9830688,-118.096735,0.0,Pico rivera in Los Angeles County
110,LA HABRA,Orange County,OUT,10/15/2021,Adopted,,SCAG,https://www.lahabracity.com/DocumentCenter/View/11723/Draft-Housing-Element--7-29-21,http://www.hcd.ca.gov/community-development/housing-element/docs/oraLaHabraDraftOUT052322.pdf,5/23/2022,60239.0,"$79,325",LA HABRA Orange County CA,"La Habra, CA 90631, USA","(33.9318591, -117.946137, 0.0)",33.9318591,-117.946137,0.0,La habra in Orange County
111,ARTESIA,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityofartesia.us/DocumentCenter/View/5051/Artesia-6th-HE_2021-10-22_draft-HCD,http://www.hcd.ca.gov/community-development/housing-element/docs/LanArtesiaAdoptedOut052022.pdf,5/20/2022,16522.0,"$67,647",ARTESIA Los Angeles County CA,"Artesia, CA, USA","(33.8658484, -118.0831212, 0.0)",33.8658484,-118.0831212,0.0,Artesia in Los Angeles County
112,AZUSA,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,"https://oc-apa.org/city-of-azusa-housing-element-update-services-6th-cycle-2020-2029/, https://www.ci.azusa.ca.us/DocumentCenter/View/43933/City-of-Azusa-Housing-Element-6th-Cycle-2021-2029---Public-Review-Document",http://www.hcd.ca.gov/community-development/housing-element/docs/LanAzusaAdoptedOut052022.pdf,5/20/2022,46361.0,"$68,216",AZUSA Los Angeles County CA,"Azusa, CA, USA","(34.1336186, -117.9075627, 0.0)",34.1336186,-117.9075627,0.0,Azusa in Los Angeles County
113,PLACENTIA,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.placentia.org/ArchiveCenter/ViewFile/Item/4574,http://www.hcd.ca.gov/community-development/housing-element/docs/oraPlacentiaAdoptedOUT051622.pdf,5/16/2022,50533.0,"$95,757",PLACENTIA Orange County CA,"Placentia, CA 92870, USA","(33.8710729, -117.8627548, 0.0)",33.8710729,-117.8627548,0.0,Placentia in Orange County
114,ORLAND,Glenn County,OUT,11/30/2021,Adopted & Reviewed,,HCD,,http://www.hcd.ca.gov/community-development/housing-element/docs/gleOrlandAdoptedOUT051222.pdf,5/12/2022,7291.0,"$44,046",ORLAND Glenn County CA,"Orland, CA 95963, USA","(39.7473803, -122.1963748, 0.0)",39.7473803,-122.1963748,0.0,Orland in Glenn County
115,GALT,Sacramento County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,http://www.hcd.ca.gov/community-development/housing-element/docs/SacGaltAdoptedIn051222.pdf,5/11/2022,23647.0,"$75,638",GALT Sacramento County CA,"Galt, CA 95632, USA","(38.2546373, -121.2999485, 0.0)",38.2546373,-121.2999485,0.0,Galt in Sacramento County
116,WINTERS,Yolo County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,http://www.hcd.ca.gov/community-development/housing-element/docs/YolWintersAdoptedIn051122.pdf,5/11/2022,6624.0,"$87,050",WINTERS Yolo County CA,"Winters, CA 95694, USA","(38.5249065, -121.9708017, 0.0)",38.5249065,-121.9708017,0.0,Winters in Yolo County
117,EL DORADO COUNTY - UNINCORPORATED TAHOE BASIN,El Dorado County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,http://www.hcd.ca.gov/community-development/housing-element/docs/eldElDoradoCountyAdoptedIN051022.pdf,5/10/2022,,$0,EL DORADO COUNTY - UNINCORPORATED TAHOE BASIN El Dorado County CA,"35 College Dr, South Lake Tahoe, CA 96150, USA","(38.9325805, -119.9732314, 0.0)",38.9325805,-119.9732314,0.0,El dorado county - unincorporated tahoe basin in El Dorado County
118,SACRAMENTO COUNTY UNINCORPORATED,Sacramento County,IN,5/15/2021,Adopted & Reviewed,,SACOG,"https://planning.saccounty.net/applicants/Documents/Combined%20Housing%20Element_07.02.2021.pdf, https://planning.saccounty.net/PlansandProjectsIn-Progress/Documents/2021-2029%20Housing%20Element%20No%20Appendices_Adopted%2007.27.2021.pdf",http://www.hcd.ca.gov/community-development/housing-element/docs/SacSacramentoCountyAdoptedIn050922.pdf,5/9/2022,,$0,SACRAMENTO COUNTY UNINCORPORATED Sacramento County CA,"Sacramento County, CA, USA","(38.47467, -121.3541631, 0.0)",38.47467,-121.3541631,0.0,Sacramento county unincorporated in Sacramento County
119,YUBA CITY,Sutter County,IN,5/15/2021,Adopted & Reviewed,,SACOG,,http://www.hcd.ca.gov/community-development/housing-element/docs/YubYubaCityAdoptedIn050522.pdf,5/5/2022,64925.0,"$56,816",YUBA CITY Sutter County CA,"Yuba City, CA, USA","(39.1404477, -121.6169108, 0.0)",39.1404477,-121.6169108,0.0,Yuba city in Sutter County
120,INGLEWOOD,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.cityofinglewood.org/DocumentCenter/View/16914/Inglewood-Housing-Element-20211124,http://www.hcd.ca.gov/community-development/housing-element/docs/lanInglewoodDraftOut042922.pdf,4/29/2022,109673.0,"$54,400",INGLEWOOD Los Angeles County CA,"Inglewood, CA, USA","(33.9616801, -118.3531311, 0.0)",33.9616801,-118.3531311,0.0,Inglewood in Los Angeles County
121,CALABASAS,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.cityofcalabasas.com/home/showpublisheddocument/21688, https://www.cityofcalabasas.com/home/showpublisheddocument/22199/637686101072670000",http://www.hcd.ca.gov/community-development/housing-element/docs/LanCalabasasAdoptedIn042522.pdf,4/25/2022,23058.0,"$125,814",CALABASAS Los Angeles County CA,"Calabasas, CA, USA","(34.1367208, -118.6614809, 0.0)",34.1367208,-118.6614809,0.0,Calabasas in Los Angeles County
122,MONROVIA,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,https://www.cityofmonrovia.org/home/showpublisheddocument/25934/637599804112770000,http://www.hcd.ca.gov/community-development/housing-element/docs/lanMonrovia3rdDraftOUT042522.pdf,4/25/2022,36590.0,"$77,111",MONROVIA Los Angeles County CA,"Monrovia, CA, USA","(34.1442616, -118.0019482, 0.0)",34.1442616,-118.0019482,0.0,Monrovia in Los Angeles County
123,OCEANSIDE,San Diego County,OUT,4/15/2021,Draft Reviewed,,SANDAG,https://static1.squarespace.com/static/5e793179d41a22445c4efa55/t/606b46822de7a32d13fd48ac/1617643143577/Oceanside+2021-2029+Draft+Housing+Element+Update_PR.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/SdiOceansideAdoptedOut042222.pdf,4/22/2022,167086.0,"$72,697",OCEANSIDE San Diego County CA,"Oceanside, CA, USA","(33.1958696, -117.3794834, 0.0)",33.1958696,-117.3794834,0.0,Oceanside in San Diego County
124,GLENDALE,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,2/22/2022,SCAG,https://4235fbe0-1093-4181-8070-c95b69c5a1f4.filesusr.com/ugd/81c7a2_f284aca6cc5b4434b92f872d2d6e6c79.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/lanGlendaleAdoptedOUT042222.pdf,4/22/2022,191719.0,"$66,130",GLENDALE Los Angeles County CA,"Glendale, CA, USA","(34.1425078, -118.255075, 0.0)",34.1425078,-118.255075,0.0,Glendale in Los Angeles County
125,VENTURA,Ventura County,OUT,10/15/2021,Adopted & Reviewed,2/22/2022,SCAG,https://www.cityofventura.ca.gov/DocumentCenter/View/28459/13A,http://www.hcd.ca.gov/community-development/housing-element/docs/venVenturaAdoptedOUT042222.pdf,4/22/2022,106433.0,"$78,882",VENTURA Ventura County CA,"Ventura, CA, USA","(34.2804923, -119.2945199, 0.0)",34.2804923,-119.2945199,0.0,Ventura in Ventura County
126,JURUPA VALLEY,Riverside County,IN,10/15/2021,Adopted & Reviewed,2/22/2022,SCAG,https://www.jurupavalley.org/DocumentCenter/View/1856/JV-HE-Public-Review-Draft-for-website,http://www.hcd.ca.gov/community-development/housing-element/docs/RivJurupaValleyAdoptIn042122.pdf,4/21/2022,95004.0,"$70,642",JURUPA VALLEY Riverside County CA,"Jurupa Valley, CA, USA","(33.9971974, -117.4854802, 0.0)",33.9971974,-117.4854802,0.0,Jurupa valley in Riverside County
127,INDIO,Riverside County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.indio.org/civica/filebank/blobdload.asp?BlobID=32236,http://www.hcd.ca.gov/community-development/housing-element/docs/RivIndioAdoptedIn042022.pdf,4/20/2022,76036.0,"$53,669",INDIO Riverside County CA,"Indio, CA, USA","(33.7205771, -116.2155619, 0.0)",33.7205771,-116.2155619,0.0,Indio in Riverside County
128,CHINO,San Bernardino County,OUT,10/15/2021,Adopted & Reviewed,2/18/2022,SCAG,"https://www.cityofchino.org/UserFiles/Servers/Server_10382578/File/City%20Hall/Departments/Community%20Development/Housing/Housing%20Element/March%202%202021%20Housing%20Element%20Update%20Attachments.pdf, https://www.cityofchino.org/residents/housing/housing_element_update",http://www.hcd.ca.gov/community-development/housing-element/docs/sbdChinoAdopt041822.pdf,4/18/2022,77983.0,"$81,711",CHINO San Bernardino County CA,"Chino, CA, USA","(34.0122346, -117.688944, 0.0)",34.0122346,-117.688944,0.0,Chino in San Bernardino County
129,HIGHLAND,San Bernardino County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityofhighland.org/DocumentCenter/View/1869/City-of-Highland-6th-Cycle-Draft-Housing-Element-PDF,http://www.hcd.ca.gov/community-development/housing-element/docs/sbdHighlandAdoptedOUT041422.pdf,4/14/2022,53104.0,"$64,868",HIGHLAND San Bernardino County CA,"Highland, CA, USA","(34.1211873, -117.2015791, 0.0)",34.1211873,-117.2015791,0.0,Highland in San Bernardino County
130,PALOS VERDES ESTATES,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.pvestates.org/home/showdocument?id=15666&t=637594531086149863,http://www.hcd.ca.gov/community-development/housing-element/docs/LanPalosVerdesEstatesAdoptedOut041222.pdf,4/12/2022,13438.0,"$194,543",PALOS VERDES ESTATES Los Angeles County CA,"Palos Verdes Estates, CA 90274, USA","(33.8005714, -118.3900737, 0.0)",33.8005714,-118.3900737,0.0,Palos verdes estates in Los Angeles County
131,SAN MARINO,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.cityofsanmarino.org/DRAFT%20San%20Marino%206th%20Cycle%20Housing%20Element%20Update.pdf, https://www.cityofsanmarino.org/REVISED%20Draft%20Housing%20Element%20July%2030%202021.pdf",http://www.hcd.ca.gov/community-development/housing-element/docs/lanSanMarinoAdoptedOUT041222.pdf,4/12/2022,13147.0,"$166,607",SAN MARINO Los Angeles County CA,"San Marino, CA 91108, USA","(34.121397, -118.1064585, 0.0)",34.121397,-118.1064585,0.0,San marino in Los Angeles County
132,ORANGE,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityoforange.org/DocumentCenter/View/12889/Housing-Element-Public-Review-Draft_May-2021,http://www.hcd.ca.gov/community-development/housing-element/docs/oraOrangeCityAdoptedOUT041222.pdf,4/12/2022,134616.0,"$91,793",ORANGE Orange County CA,"Orange, CA, USA","(33.7879139, -117.8531007, 0.0)",33.7879139,-117.8531007,0.0,Orange in Orange County
133,SAN JACINTO,Riverside County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/rivSanJacintoAdoptedOUT041222.pdf,4/12/2022,44199.0,"$52,009",SAN JACINTO Riverside County CA,"San Jacinto, CA, USA","(33.7839084, -116.958635, 0.0)",33.7839084,-116.958635,0.0,San jacinto in Riverside County
134,EL CENTRO,Imperial County,IN,10/15/2021,Adopted & Reviewed,2/18/2022,SCAG,http://www.cityofelcentro.org/userfiles/file/Planning/Housing%20Element/2021-2029%20Housing%20Element%20Update/El%20Centro%20HE%202021%20PRD%20(08-24-21)_Reduced%20Size.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/impElCentroAdoptIn041122.pdf,4/11/2022,42598.0,"$47,864",EL CENTRO Imperial County CA,"El Centro, CA, USA","(32.792, -115.5630514, 0.0)",32.792,-115.5630514,0.0,El centro in Imperial County
135,EL SEGUNDO,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.elsegundo.org/home/showpublisheddocument/3762/637593605300270000, https://www.elsegundo.org/home/showpublisheddocument/4235/637683457378530000",http://www.hcd.ca.gov/community-development/housing-element/docs/LanElSegundoAdoptedOut040822.pdf,4/8/2022,16654.0,"$109,577",EL SEGUNDO Los Angeles County CA,"El Segundo, CA 90245, USA","(33.9191799, -118.4164652, 0.0)",33.9191799,-118.4164652,0.0,El segundo in Los Angeles County
136,LONG BEACH,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,2/11/2022,SCAG,https://www.longbeach.gov/globalassets/lbds/media-library/documents/planning/housing-element-update/he_admin-draft_07-09-21     https://www.longbeach.gov/globalassets/lbds/media-library/documents/planning/housing-element-update/he_appendix_07-09-21,http://www.hcd.ca.gov/community-development/housing-element/docs/LanLongBeachAdoptedIn040822.pdf,4/8/2022,462257.0,"$63,017",LONG BEACH Los Angeles County CA,"Long Beach, CA, USA","(33.7700504, -118.1937395, 0.0)",33.7700504,-118.1937395,0.0,Long beach in Los Angeles County
137,SEAL BEACH,Orange County,OUT,10/15/2021,Draft Reviewed,,SCAG,"https://www.sealbeachca.gov/Portals/0/Documents/FAQs%20-%20Housing%20Element%20Update%202021-2029.pdf, https://www.sealbeachca.gov/Portals/0/Documents/6th%20Seal%20Beach%20Housing%20Element%20-%20Draft%2021-0909.pdf?ver=2021-09-14-101823-887",http://www.hcd.ca.gov/community-development/housing-element/docs/OraSealBeachAdoptedOut040822.pdf,4/8/2022,24168.0,"$68,852",SEAL BEACH Orange County CA,"Seal Beach, CA, USA","(33.7414085, -118.1047682, 0.0)",33.7414085,-118.1047682,0.0,Seal beach in Orange County
138,YORBA LINDA,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://c350e09e-9e90-4566-900c-9869c2c04398.filesusr.com/ugd/b90adb_ffb633e54c574be69a415a58aa21ecc0.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/OraYorbaLindaAdoptedIn040822.pdf,4/8/2022,64234.0,"$129,995",YORBA LINDA Orange County CA,"Yorba Linda, CA, USA","(33.88850350000001, -117.8132571, 0.0)",33.88850350000001,-117.8132571,0.0,Yorba linda in Orange County
139,HEMET,Riverside County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.hemetca.gov/1029/Housing-Element-Update,http://www.hcd.ca.gov/community-development/housing-element/docs/RivHemetAdoptedOut040822.pdf,4/8/2022,78657.0,"$39,726",HEMET Riverside County CA,"Hemet, CA, USA","(33.7475203, -116.9719684, 0.0)",33.7475203,-116.9719684,0.0,Hemet in Riverside County
140,THOUSAND OAKS,Ventura County,ADOPTED-IN REVIEW,10/15/2021,Adopted & Reviewed,,SCAG,https://www.toaks2045.org/s/Draft-Thousand-Oaks-2021-2029-HE_complete.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/venThousandOaksAdoptedOut040722.pdf,4/7/2022,126683.0,"$109,378",THOUSAND OAKS Ventura County CA,"Thousand Oaks, CA, USA","(34.1705609, -118.8375937, 0.0)",34.1705609,-118.8375937,0.0,Thousand oaks in Ventura County
141,COSTA MESA,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.costamesaca.gov/city-hall/city-departments/development-services/planning/housing-element-update,lanCovinaDraftOUT012722.pdf,4/5/2022,109960.0,"$84,138",COSTA MESA Orange County CA,"Costa Mesa, CA, USA","(33.6638439, -117.9047429, 0.0)",33.6638439,-117.9047429,0.0,Costa mesa in Orange County
142,MONTEREY PARK,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://mpkhousingupdate.com/wp-content/uploads/2021/10/City-of-Monterey-Park-Housing-Element-Public-Draft-October-2021.pdf,,4/1/2022,60269.0,"$61,819",MONTEREY PARK Los Angeles County CA,"Monterey Park, CA, USA","(34.0625106, -118.1228476, 0.0)",34.0625106,-118.1228476,0.0,Monterey park in Los Angeles County
143,WESTMINSTER,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.westminster-ca.gov/home/showdocument?id=4182&t=637701703266581122,,4/1/2022,89701.0,"$62,625",WESTMINSTER Orange County CA,"Westminster, CA, USA","(33.7591757, -117.9897058, 0.0)",33.7591757,-117.9897058,0.0,Westminster in Orange County
144,LAGUNA BEACH,Orange County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,"https://lagunabeachcity.granicus.com/MetaViewer.php?view_id=3&clip_id=1345&meta_id=104879, https://www.lagunabeachcity.net/civicax/filebank/blobdload.aspx?t=1814.093&BlobID=28527",oraLagunaHillsDraftallfindings010422.pdf,3/30/2022,22723.0,"$129,983",LAGUNA BEACH Orange County CA,"Laguna Beach, CA, USA","(33.5427189, -117.7853568, 0.0)",33.5427189,-117.7853568,0.0,Laguna beach in Orange County
145,HERMOSA BEACH,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.hermosabeach.gov/our-government/community-development/plan-hermosa,SBDHesperiaDraftOut012122.pdf,3/23/2022,19506.0,"$136,702",HERMOSA BEACH Los Angeles County CA,"Hermosa Beach, CA 90254, USA","(33.8622366, -118.3995194, 0.0)",33.8622366,-118.3995194,0.0,Hermosa beach in Los Angeles County
146,MALIBU,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.malibucity.org/DocumentCenter/View/28345/PC210722_Item1A---Combined,lanManhattanBeachdraftout121421.pdf,3/22/2022,12645.0,"$150,747",MALIBU Los Angeles County CA,"Malibu, CA, USA","(34.0259216, -118.7797571, 0.0)",34.0259216,-118.7797571,0.0,Malibu in Los Angeles County
147,DEL MAR,San Diego County,OUT,4/15/2021,Adopted & Reviewed,,SANDAG,https://www.delmar.ca.us/DocumentCenter/View/7143/Draft-6th-Cycle-Housing-Element-Update-2021-2029,,3/21/2022,4161.0,"$129,063",DEL MAR San Diego County CA,"Del Mar, CA 92014, USA","(32.9594891, -117.2653146, 0.0)",32.9594891,-117.2653146,0.0,Del mar in San Diego County
148,COLTON,San Bernardino County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://www.ci.colton.ca.us/DocumentCenter/View/7294/Colton-2021-Housing-Element_2021-07-05_draft,,3/18/2022,52154.0,"$53,838",COLTON San Bernardino County CA,"Colton, CA, USA","(34.0739016, -117.3136547, 0.0)",34.0739016,-117.3136547,0.0,Colton in San Bernardino County
149,BARSTOW,San Bernardino County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,ORANGE COUNTY	FOUNTAIN VALLEY	available - entered	https://www.fountainvalley.org/1409/Housing-Element																							 RIVERSIDE COUNTY	HEMET	available - entered	https://www.hemetca.gov/1029/Housing-Element-Update																							 SAN BERNARDINO COUNTY	HIGHLAND	available - entered	https://www.cityofhighland.org/317/6th-Cycle-Housing-Element-Update																							 LOS ANGELES COUNTY	POMONA	available - entered	https://www.pomonaca.gov/government/departments/development-services/planning-division/general-plan/pro-housing-pomona																							 ORANGE COUNTY	RANCHO ST. MARGARITA	available - entered	https://www.cityofrsm.org/622/Housing-Element-Update-2021																							 LOS ANGELES COUNTY	TORRANCE	available - entered	https://www.torranceca.gov/our-city/community-development/housing-element-update								https://www.barstowca.org/home/showpublisheddocument/7288/637668658150600000															,,3/16/2022,22639.0,"$40,633",BARSTOW San Bernardino County CA,"Barstow, CA, USA","(34.8957957, -117.0172826, 0.0)",34.8957957,-117.0172826,0.0,Barstow in San Bernardino County
150,GLENN COUNTY UNINCORPORATED,Glenn County,OUT,11/30/2021,Draft Reviewed,12/31/2021,HCD,,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPxmWDNlgqI3hgS8dt5bZC2Yn_DAUB280gVV9VsHGyp6iYzYPQNNTkoSazCNZPp0aamwQTXD2hrTcfIoBDeiLotGRKzS1ZuN_37Us189SHN3igFhqzR0ktQHNLRCFI91ZCBaK0S--eG3Tqaemfq75Rvq-WZmZjAw194rmOPtA4g07Qf1Te33_IyA==&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,3/1/2022,,$0,GLENN COUNTY UNINCORPORATED Glenn County CA,"Glenn, CA 95943, USA","(39.5218283, -122.0138651, 0.0)",39.5218283,-122.0138651,0.0,Glenn county unincorporated in Glenn County
151,ARCADIA,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,"https://cms9.revize.com/revize/arcadia/shape/development_services_department/planning___zoning/housing_element_update.php, https://cms9.revize.com/revize/arcadia/Shape%20Arcadia/Development%20Services/Housing%20Element/Revised%20Draft%20Housing%20Element/Arcadia_Ch5_Housing%20Element%20Update_December%202021_Redlines.pdf",https://www.hcd.ca.gov/community-development/housing-element/docs/lanarcadiareviseddraftout022522.pdf,2/25/2022,56364.0,"$93,574",ARCADIA Los Angeles County CA,"Arcadia, CA, USA","(34.1397292, -118.0353449, 0.0)",34.1397292,-118.0353449,0.0,Arcadia in Los Angeles County
152,LOMA LINDA,San Bernardino County,OUT,10/15/2021,Adopted & Reviewed,2/14/2022,SCAG,,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPxp6qRjcy-sPKToOJXQlPL_TXv9cC5s6tbRtMcMozDdxjZKgSPGEZaLISz0v4sZLKwXkInxovWn4SlY5JjSGJEAlmB-ilbcTB1wVcl0qpYkNzxMDCdsqAoZNx3NrG_w78qT4us2yvV9AaL6l2IRRBA9SnHETaqZZoz5SmrjlhO3RPoaTTGGciPIVvvcWaBj5f&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,2/25/2022,23261.0,"$55,607",LOMA LINDA San Bernardino County CA,"Loma Linda, CA, USA","(34.0483474, -117.2611527, 0.0)",34.0483474,-117.2611527,0.0,Loma linda in San Bernardino County
153,GLENDORA,Los Angeles County,OUT,10/15/2021,Draft Reviewed,,SCAG,"https://meetings.ci.glendora.ca.us/OnBaseAgendaOnline/Documents/ViewDocument/City_Council_-_Housing_Element_Workshop_2467_Agenda_Packet_6_3_2021_6_00_00_PM.pdf?meetingId=2467&documentType=AgendaPacket&itemId=0&publishId=0&isSection=false, https://www.cityofglendora.org/home/showpublisheddocument/28098/637648030886170000",https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPL9j3C8Rj3vB856QvgSsXFhpDj91dgKC_NHsM4YRRrHn2mnknfCuK-OrwfF0wDlUhGizp_ta2wF9OCuR18rQBtdzL68Xmg987t7ZRyX3qV6A1e1vHQwYZoPbFwc5rTFr1kLFtx5YJMxgBRTY3T82oy1VkqQrDSjFl8DxHTNpLUtny0Gm1Vb0KPg==&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,2/18/2022,50073.0,"$96,132",GLENDORA Los Angeles County CA,"Glendora, CA, USA","(34.1361187, -117.865339, 0.0)",34.1361187,-117.865339,0.0,Glendora in Los Angeles County
154,ELK GROVE,Sacramento County,IN,5/15/2021,Adopted & Reviewed,,SACOG,"https://www.elkgrovecity.org/UserFiles/Servers/Server_109585/File/Departments/SPI/Housing_2021/EG-Housing-Element_Public%20Review%20Draft_2021-04-13_TrackChanges.pdf, https://elkgrovecity.org/UserFiles/Servers/Server_109585/File/Departments/SPI/Housing_2021/EG-Housing-Element_CC%20Version_5.3.21_Agenda.pdf",https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPUom_0Pe96hUswNJ_bvVpsF0TaYZa6JapFDfomoJZcAnXrfXhn3Ej0uudffsxxkOpLSMe3KGmPizoKgdQnJvCXaZw4ol5mhFgs0Y7Neo_Bu9P1Jb-4MldDKt-d5HEk4BpE8VCVl3PAX6wQni6icoF1YqcncIeWfPNMkAtcXBl0vCp6U87VMfKYw==&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,2/16/2022,153015.0,"$93,780",ELK GROVE Sacramento County CA,"Elk Grove, CA, USA","(38.4087993, -121.3716178, 0.0)",38.4087993,-121.3716178,0.0,Elk grove in Sacramento County
155,DESERT HOT SPRINGS,Riverside County,OUT,10/15/2021,Adopted & Reviewed,,SCAG,https://f.hubspotusercontent30.net/hubfs/4435988/City%20of%20Desert%20Hot%20Springs%20Draft%202021-2029%20Housng%20Element.pdf,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPdZsV2Se3w-oDK5lDCKFBMs4ntEIOEzB8C0mT6SLvPEvB-WAVKz4t6Pz_kDkhcJT_5ddENeyl_mvp3BYRthDI1d3wgYbY4QwyAnJH4f4Q7KxiNDrTI1V5PqDNO7jri9kStIcXvZiBcHT9DDfgWT4bJLTLLrhpQaNgIIIkHgaHn8Spmql2-NKnIZyOG1KsHS6i&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,2/16/2022,25938.0,"$33,046",DESERT HOT SPRINGS Riverside County CA,"Desert Hot Springs, CA, USA","(33.9615186, -116.5013793, 0.0)",33.9615186,-116.5013793,0.0,Desert hot springs in Riverside County
156,HIDDEN HILLS,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,7/12/2022,SCAG,https://hiddenhillscity.org/wp-content/uploads/DRAFT-Hidden-Hills-6th-HE_2021-10-28_draft.docx,,1/21/2022,1856.0,"$246,042",HIDDEN HILLS Los Angeles County CA,"Hidden Hills, CA 91302, USA","(34.1648798, -118.6647537, 0.0)",34.1648798,-118.6647537,0.0,Hidden hills in Los Angeles County
