,Project Type,Project Name,Association Name,City,Zip,County,ID
2956,CONDOMINIUM,STRADA 315,STRADA 315 CONDO ASSOC INC,FT.LAUDERDALE,33301,BROWARD,237112
2957,CONDOMINIUM,CONDO PROJECT,"PALMS ON VENICE, A CONDO",FORT LAUDERDALE,33302,BROWARD,236972
2958,COOPERATIVE,2801 CLUB,2801 CLUB INC.,FORT LAUDERDALE,33304,BROWARD,250124
2959,COOPERATIVE,HATHORNE EAST,"HAWTHORNE EAST, INC.",FORT LAUDERDALE,33304,BROWARD,248792
2960,COOPERATIVE,HAWTHORNE EAST,"HAWTHORNE EAST, INC",FORT LAUDERDALE,33304,BROWARD,240604
2961,COOPERATIVE,HAWTHORNE EAST,"HAWTHORNE EAST, INC.",FORT LAUDERDALE,33304,BROWARD,240593
2962,COOPERATIVE,SUNRISE BAY ASSOC INC,SUNRISE BAY ASSOCIATION,FORT LAUDERDALE,33304,BROWARD,250123
2963,CONDOMINIUM,"321 AT WATER'S EDGE, A CONDO",321 AT WATER'S EDGE CONDOMINIUM ASSOCIATION,FORT LAUDERDALE,33304,BROWARD,220057
2964,CONDOMINIUM,1200 CLUB CONDOMINIUM,1200 CLUB CONDOMINIUM,FORT LAUDERDALE,33304,BROWARD,235215
2965,CONDOMINIUM,ADAGIO ON THE BAY CONDOMINIUM ASSOCIATION,"ADAGIO ON THE BAY CONDOMINIUM ASSOCIATION, INC.",FORT LAUDERDALE,33304,BROWARD,290818
2966,CONDOMINIUM,ALHAMBRA PLACE CONDO,ALHAMBRA PLACE CONDOMINIUM ASSOCIATION INC,FORT LAUDERDALE,33304,BROWARD,270435
2967,CONDOMINIUM,AMERICAS ON THE PARK,"AMERICAS CONDOMINIUM ASSOCIATION, INC",FORT LAUDERDALE,33304,BROWARD,204463
2968,CONDOMINIUM,AQUABLU FORT LAUDERDALE CONDO ASSN INC,AQUABLU FORT LAUDERDALE CONDOMINIUM ASSOCATION INC,FORT LAUDERDALE,33304,BROWARD,230099
2969,CONDOMINIUM,BIRCH CREST APARTMENTS,BIRCH CREST APARTMENTS,FORT LAUDERDALE,33304,BROWARD,236250
2970,CONDOMINIUM,BRITANNIA CONDOMINIUM,BRITANNIA CONDOMINIUM ASSOCIATION INC.,FORT LAUDERDALE,33304,BROWARD,234322
2971,CONDOMINIUM,BRITANNIA CONDOMINIUM ASSOCIATION,BRITANNIA CONDOMINIUM ASSOCIATION INC.,FORT LAUDERDALE,33304,BROWARD,250104
2972,CONDOMINIUM,BRITANNIA CONDOMINIUM ASSOCIATION,BRITANNIA CONDOMINIUM ASSOCIATION INC.,FORT LAUDERDALE,33304,BROWARD,250109
2973,CONDOMINIUM,CASTILLO GRAND HOTEL CONDO RESIDENCES,"CASTILLO GRAND HOTEL CONDOMINIUM RESIDENCES ASSOCIATION, INC",FORT LAUDERDALE,33304,BROWARD,216490
2974,CONDOMINIUM,"CASTILLO GRAND RESIDENCES, A CONDOMINIUM","CASTILLO GRAND RESIDENCES CONDOMINIUM ASSOCIATION, INC",FORT LAUDERDALE,33304,BROWARD,216461
2975,CONDOMINIUM,COCONUT BAY RESORT CONDOMINUM ASSOCIATION INC.,COCONUT BAY RESORT CONDOMINUM ASSOCIATION INC.,FORT LAUDERDALE,33304,BROWARD,292521
2976,CONDOMINIUM,COLONIAL MANOR EAST,"COLONIAL MANOR EAST APARTMENTS CONDOMINIUM ASSOCIATION, INC.",FORT LAUDERDALE,33304,BROWARD,290702
2977,CONDOMINIUM,CONDO PROJECT,HOLIDAY ISLE YACHT CLUB,FORT LAUDERDALE,33304,BROWARD,287664
2978,CONDOMINIUM,CORINTHIAN ON THE INTRACOASTAL,"CORINTHIAN CONDOMINIUM ASSOCIATION, INC",FORT LAUDERDALE,33304,BROWARD,245283
2979,CONDOMINIUM,EAST POINT TOWERS CONDOMINIUM,EAST POINT TOWERS CONDOMINIUM,FORT LAUDERDALE,33304,BROWARD,234832
2980,CONDOMINIUM,FORT LAUDERDALE BEACH RESORT,BREAKERS OF FT LAUDERDALE CONDO ASSN,FORT LAUDERDALE,33304,BROWARD,286422
2981,CONDOMINIUM,"HARBOR HAVEN INC, A CONDOMINIUM","HARBOR HAVEN INC, A CONDOMINIUM",FORT LAUDERDALE,33304,BROWARD,250320
2982,CONDOMINIUM,HARBOR HOUSE NORTH CONDOMINIUM,"HARBOR HOUSE NORTH, INC.",FORT LAUDERDALE,33304,BROWARD,246234
2983,CONDOMINIUM,"HORIZON HOUSE CONDOMINIUM ASSOCIATION, INC",HORIZON HOUSE CONDOMINIUM INC,FORT LAUDERDALE,33304,BROWARD,226188
2984,CONDOMINIUM,"LA RIVE CONDOMINIUM ASSOCIATION, INC.","LA RIVE CONDOMINIUM ASSOCIATION, INC.",FORT LAUDERDALE,33304,BROWARD,291203
2985,CONDOMINIUM,LEISURE HOUSE,LEISURE HOUSE,FORT LAUDERDALE,33304,BROWARD,248535
2986,CONDOMINIUM,MIDDLE RIVER VILLAS CONDO,"MIDDLE RIVER VILLAS CONDOMINIUM, INC.",FORT LAUDERDALE,33304,BROWARD,261387
2987,CONDOMINIUM,NAUTICAL TOWERS INC,NAUTICAL TOWERS CONDOMINIUM ASSOCIATION INC,FORT LAUDERDALE,33304,BROWARD,250338
2988,CONDOMINIUM,PARAMOUNT FORT LAUDERDALE,PARAMOUNT FORT LAUDERDALE CONDO,FORT LAUDERDALE,33304,BROWARD,246469
2989,CONDOMINIUM,PARK COURT CONDOMINIUM,PARK COURT CONDOMINIUM,FORT LAUDERDALE,33304,BROWARD,287825
2990,CONDOMINIUM,PARK TOWER ASSOCIATION,PARK TOWER ASSOCIATION,FORT LAUDERDALE,33304,BROWARD,287554
2991,CONDOMINIUM,PORTO VENEZIA CONDO ASSN INC,PORTO VENEZIA CONDOMINIUM ASSOCIATION INC,FORT LAUDERDALE,33304,BROWARD,250140
2992,CONDOMINIUM,"RIVA FORT LAUDERDALE CONDOMINIUM ASSOCIATION, INC.","RIVA FORT LAUDERDALE CONDOMINIUM ASSOCIATION, INC.",FORT LAUDERDALE,33304,BROWARD,225634
2993,CONDOMINIUM,SEVILLA COURTS CONDO,SEVILLA COURTS CONDO,FORT LAUDERDALE,33304,BROWARD,237451
2994,CONDOMINIUM,SIRS STUDY,BAYSHORE EMBASSY CONDO,FORT LAUDERDALE,33304,BROWARD,240507
2995,CONDOMINIUM,SIRS STUDY 2024,BAYSHORE EMBASSY CONDO,FORT LAUDERDALE,33304,BROWARD,240459
2996,CONDOMINIUM,SIRS- LEVEL 1 FULL RESERVE STUDY,"HAWTHORNE BAY, INC.",FORT LAUDERDALE,33304,BROWARD,289422
2997,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVE STUDY,LE CLUB INTERNATIONAL CONDOMINIUM ASSOCIATION,FORT LAUDERDALE,33304,BROWARD,287586
2998,CONDOMINIUM,SUNRISE EAST CONDO,"SUNRISE EAST CONDO, INC.",FORT LAUDERDALE,33304,BROWARD,220150
2999,CONDOMINIUM,SUNRISE TOWER ASSOCIATION INC,SUNRISE TOWER ASSOCIATION INC,FORT LAUDERDALE,33304,BROWARD,245174
3000,CONDOMINIUM,THE SEASONS CONDOMINIUM ASSOCIATION OF FORT LAUDERDALE,THE SEASONS CONDOMINIUM ASSOCIATION OF FORT LAUDERDALE,FORT LAUDERDALE,33304,BROWARD,287588
3001,CONDOMINIUM,TIFFANY HOUSE CONDOMINIUM ASSOCIATION INC.,TIFFANY HOUSE CONDOMINIUM ASSOCIATION,FORT LAUDERDALE,33304,BROWARD,238449
3002,CONDOMINIUM,TIFFANY HOUSE CONDOMINIUM ASSOCIATION INC.,TIFFANY HOUSE CONDOMINIUM ASSOCIATION INC.,FORT LAUDERDALE,33304,BROWARD,238443
3003,CONDOMINIUM,W FORT LAUDERDALE RESIDENCES,FORT LAUDERDALE RESIDENCES HOTEL CONDOMINIUM ASSOCIATION INC,FORT LAUDERDALE,33304,BROWARD,239884
3004,CONDOMINIUM,WEDGEWOOD COURT,"WEDGEWOOD COURT CONDOMINIUM ASSOCIATION, INC",FORT LAUDERDALE,33304,BROWARD,240985
3005,CONDOMINIUM,"FORT LAUDERDALE RESIDENCES HOTEL CONDOMINIUM ASSOCIATION, INC.","FORT LAUDERDALE RESIDENCES HOTEL CONDOMINIUM ASSOCIATION, INC.","FORT LAUDERDALE,",33304,BROWARD,288815
3006,COOPERATIVE,VERSAILLES COOP,VERSAILLES COOP,"FORT LAUDERDALE, FL",33304,BROWARD,211856
3007,COOPERATIVE,SPRING TIDE APARTMENTS SIRS,SPRING TIDE APARTMENTS,FT LAUDERDALE,33304,BROWARD,287295
3008,CONDOMINIUM,SOUTHDALE CONDO ASSOC INC,SOUTHDALE CONDO ASSOC INC,FT LAUDERDALE,33304,BROWARD,266178
3009,CONDOMINIUM,THE GALLERY CONDOMINIUM,THE GALLERY CONDOMINUM ASSOCIATION,FT. LAUDERDALE,33304,BROWARD,204695
3010,CONDOMINIUM,VICTORIA PARK TOWER CONDOMINIUM,VICTORIA PARK TOWER CONDOMINIUM ASSOCIATION,FT. LAUDERDALE,33304,BROWARD,254509
3011,CONDOMINIUM,"CAMELOT SHORES CONDOMINIUM ASSOCIATION, INC.","CAMELOT SHORES CONDOMINIUM ASSOCIATION, INC.",FORT LAUDERDALE,33305,BROWARD,249019
3012,CONDOMINIUM,LAS OLAS MANOR ASSOCIATION INC,LAS OLAS MANOR ASSOCIATION INC,FORT LAUDERDALE,33305,BROWARD,289508
3013,CONDOMINIUM,MIDDLE RIVER TOWER,"MIDDLE RIVER TOWNER, INC.",FORT LAUDERDALE,33305,BROWARD,248806
3014,CONDOMINIUM,SHORE CLUB,"SC CONDOMINIUM ASSOCIATION, INC.",FORT LAUDERDALE,33305,BROWARD,286389
3015,CONDOMINIUM,SHORE CLUB CONDO,"SC CONDOMINIUM ASSOCIATION, INC.",FORT LAUDERDALE,33305,BROWARD,286857
3016,CONDOMINIUM,TRADEWINDS BY THE SEA INC,TRADEWINDS BY THE SEA CONDO,FORT LAUDERDALE,33305,BROWARD,218506
3018,CONDOMINIUM,ISLAND CITY LOFTS CONDO ASSOC,ISLAND CITY LOFTS CONDO ASSOC,WILTON MANORS,33305,BROWARD,266115
3019,CONDOMINIUM,OLIVEWOOD CONDO,OLIVEWOOD CONDO,WILTON MANORS,33305,BROWARD,240260
3020,CONDOMINIUM,OLIVEWOOD CONDOMINIUM,"OLIVEWOOD CONDOMINIUM ASSOC., INC",WILTON MANORS,33305,BROWARD,248923
3021,COOPERATIVE,"REGENCY HOUSE, INC.","REGENCY HOUSE, INC.",FORT LAUDERDALE,33306,BROWARD,231682
3022,COOPERATIVE,THE CAMBRIDGE,THE CAMBRIDGE INC,FORT LAUDERDALE,33306,BROWARD,227588
3023,CONDOMINIUM,"1500 OCEAN CLUB CONDOMINIUM ASSOCIATION, INC.","1500 OCEAN CLUB, A CONDO",FORT LAUDERDALE,33306,BROWARD,225654
3024,CONDOMINIUM,CARLYLE CONDOMINIUM,"THE CARLYLE ASSOCIATION, INC.",FORT LAUDERDALE,33306,BROWARD,271269
3025,CONDOMINIUM,IMPERIAL CONDOMINIUM,"IMPERIAL CONDOMINIUM, INC.",FORT LAUDERDALE,33306,BROWARD,290430
3026,CONDOMINIUM,PIER 41 CONDO ASSN INC,PIER 41 CONDOMINIUM ASSOCIATION INC,FORT LAUDERDALE,33306,BROWARD,250220
3027,CONDOMINIUM,SIRS REPORT,"IMPERIAL CONDOMINIUM, INC.",FORT LAUDERDALE,33306,BROWARD,275849
3028,COOPERATIVE,"ALAGON, INC.","ALAGON, INC",FORT LAUDERDALE,33308,BROWARD,252026
3029,COOPERATIVE,CONDO PROJECT,GALT OCEAN MANOR CONDO,FORT LAUDERDALE,33308,BROWARD,239093
3030,COOPERATIVE,"CORAL RIDGE TOWERS NORTH - GALT PLAZA APARTMENTS, INC","CORAL RIDGE TOWERS NORTH GALT PLAZA APARTMENTS, INC",FORT LAUDERDALE,33308,BROWARD,249510
3031,COOPERATIVE,CORAL RIDGE TOWERS SOUTH,GALT VIEW APARTMENTS INC,FORT LAUDERDALE,33308,BROWARD,234501
3032,COOPERATIVE,STRUCTURAL INTEGRITY RESERVE STUDY,COUNTRY CLUB TERRACE INC,FORT LAUDERDALE,33308,BROWARD,277726
3033,COOPERATIVE,STRUCTURAL INTEGRITY RESERVE STUDY,"SEA TOWER APARTMENTS, INC",FORT LAUDERDALE,33308,BROWARD,235787
3034,CONDOMINIUM,"BERKLEY SOUTH C.A., INC - SIRS COMPONENTS",BERKLEY SOUTH CONDOMINIUM ASSOCIATION INC,FORT LAUDERDALE,33308,BROWARD,240643
3035,CONDOMINIUM,COMMODORE APTS,COMMODORE CONDO APTS INC,FORT LAUDERDALE,33308,BROWARD,228736
3036,CONDOMINIUM,CORAL RIDGE EAST CONDO ASSN INC,CORAL SPRING EAST CONDOMINIUM ASSOCIATION INC,FORT LAUDERDALE,33308,BROWARD,250134
3037,CONDOMINIUM,CORAL RIDGE PLACE,"CORAL RIDGE PLACE CONDO ASSOC, INC.",FORT LAUDERDALE,33308,BROWARD,236165
3038,CONDOMINIUM,CORAL RIDGE PLACE CONDO,CORAL RIDGE PLACE CONDO,FORT LAUDERDALE,33308,BROWARD,222416
3039,CONDOMINIUM,CORAL RIDGE PLACE CONDO,CORAL RIDGE PLACE CONDO,FORT LAUDERDALE,33308,BROWARD,222422
3040,CONDOMINIUM,"CORAL TOWERS CONDOMINIUM ASSOCIATION, INC",CORAL TOWERS CONDOMINIUM ASSOCIATION,FORT LAUDERDALE,33308,BROWARD,245294
3041,CONDOMINIUM,EMBASSY TOWER,EMBASSY TOWER INC.,FORT LAUDERDALE,33308,BROWARD,295766
3042,CONDOMINIUM,"EMBASSY TOWER II, INC","EMBASSY TOWER II, INC",FORT LAUDERDALE,33308,BROWARD,250184
3043,CONDOMINIUM,GABLE ARMS CONDO,GABLE ARMS CONDO ASSN. INC,FORT LAUDERDALE,33308,BROWARD,295462
3044,CONDOMINIUM,GALT OCEAN CLUB,"GALT OCEAN CLUB CONDO ASSOC., INC.",FORT LAUDERDALE,33308,BROWARD,286374
3045,CONDOMINIUM,GALT TOWERS CONDO ASSOCIATION INC,GALT TOWERS CONDO ASSOCIATION INC,FORT LAUDERDALE,33308,BROWARD,311278
3046,CONDOMINIUM,GALT TOWERS CONDO ASSOCIATION INC,GALT TOWERS CONDO ASSOCIATION INC,FORT LAUDERDALE,33308,BROWARD,311284
3047,CONDOMINIUM,"HERITAGE LANDINGS ASSOCIATION, INC.","HERITAGE LANDINGS ASSOCIATION, INC.",FORT LAUDERDALE,33308,BROWARD,232068
3048,CONDOMINIUM,IMPERIAL VILLAGE CONDO,IMPERIAL VILLAGE CONDOMINIU,FORT LAUDERDALE,33308,BROWARD,248798
3049,CONDOMINIUM,"L'HERMITAGE II, A CONDO",L'HERMITAGE II CONDOMINIUM ASSOCIAITON,FORT LAUDERDALE,33308,BROWARD,236446
3051,CONDOMINIUM,PILOT HOUSE CONDO,PILOT HOUSE CONDOMINIUM ASSOC,FORT LAUDERDALE,33308,BROWARD,245013
3052,CONDOMINIUM,PLAYA DEL SOL ASSOCIATION INC,PLAYA DEL SOL ASSOCIATION INC,FORT LAUDERDALE,33308,BROWARD,223167
3053,CONDOMINIUM,PLAZA EAST,PLAZA EAST,FORT LAUDERDALE,33308,BROWARD,219197
3054,CONDOMINIUM,PLAZA EAST,PLAZA EAST,FORT LAUDERDALE,33308,BROWARD,292590
3055,CONDOMINIUM,PLAZA SOUTH ASSOCIATION,"PLAZA SOUTH ASSOCIATION, INC.",FORT LAUDERDALE,33308,BROWARD,207440
3056,CONDOMINIUM,REGENCY TOWER SOUTH,REGENCY TOWER SOUTH,FORT LAUDERDALE,33308,BROWARD,209941
3057,CONDOMINIUM,ROYAL AMBASSADOR CONDO,"ROYAL AMBASSADOR CONDOMINIUM ASSOC, INC",FORT LAUDERDALE,33308,BROWARD,241889
3058,CONDOMINIUM,"ROYAL LAUDERDALE LANDINGS, INC.","ROYAL LAUDERDALE LANDINGS, INC.",FORT LAUDERDALE,33308,BROWARD,286915
3059,CONDOMINIUM,SIRS REPORT SUBMISSION,"ROYAL MARINER OF FORT LAUDERDALE, INC.",FORT LAUDERDALE,33308,BROWARD,249978
3060,CONDOMINIUM,SOUTHPOINT CONDO,SOUTHPOINT CONDOMINIUM ASSOCIATION,FORT LAUDERDALE,33308,BROWARD,234862
3061,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVE STUDY,"WESTCHESTER HOUSE ASSOCIATION, INC.",FORT LAUDERDALE,33308,BROWARD,212510
3062,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVED STUDY,"WELLINGTON ASSOCIATION INC., A CONDOMINIUM",FORT LAUDERDALE,33308,BROWARD,239771
3063,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVES STUDY,RIDGEVIEW TOWERS,FORT LAUDERDALE,33308,BROWARD,226448
3064,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVES STUDY,WINSTON HOUSE INC,FORT LAUDERDALE,33308,BROWARD,239814
3065,CONDOMINIUM,THE CONTINENTAL CONDO,THE CONTINENTAL CONDO,FORT LAUDERDALE,33308,BROWARD,248783
3066,CONDOMINIUM,THE LANDINGS CONDOMINIUM INCORPORATED,THE LAUDERDALE LANDINGS CONDOMINIUM INCORPORATED,FORT LAUDERDALE,33308,BROWARD,225498
3067,CONDOMINIUM,THE TIDES AT BRIDGESIDE SQUARE CONDOMINIUM,THE TIDES AT BRIDGESIDE SQUARE CONDOMINIUM ASSOCIATION INC.,FORT LAUDERDALE,33308,BROWARD,231566
3068,CONDOMINIUM,"THE TOWER AT PORT ROYALE CONDOMINIUM ASSOCIATION, INC.","THE TOWER AT PORT ROYALE CONDOMINIUM ASSOCIATION, INC.",FORT LAUDERDALE,33308,BROWARD,237319
3069,CONDOMINIUM,THE WARWICK CONDOMINIUM,THE WARWICK CONDOMINIUM,FORT LAUDERDALE,33308,BROWARD,221020
3070,CONDOMINIUM,"VANTAGE  VIEW, INC.","VANTAGE VIEW, INC.",FORT LAUDERDALE,33308,BROWARD,291369
3071,CONDOMINIUM,VANTAGE VIEW CONDO,"VANTAGE VIEW, INC.",FORT LAUDERDALE,33308,BROWARD,235319
3072,CONDOMINIUM,WILSHIRE EAST,WILSHIRE EAST CONDOMINIUM,FORT LAUDERDALE,33308,BROWARD,243149
3073,CONDOMINIUM,L'AMBIANCE BEACH CONDOMINIUMS,L'AMBIANCE BEACH CONDOMINIUM,FT LAUDERDALE,33308,BROWARD,224868
3074,CONDOMINIUM,MARACAY ASSOC.,MARACAY ASSOC.,FT LAUDERDALE,33308,BROWARD,266134
3075,CONDOMINIUM,WINDSOR,WINDSOR ASSOCIATION INC,FT LAUDERDALE,33308,BROWARD,244686
3076,COOPERATIVE,"GALT MILE APARTMENTS, INC. DBA CORAL RIDGE TOWERS","GALT MILE APARTMENTS, INC. DBA CORAL RIDGE TOWERS",FT. LAUDERDALE,33308,BROWARD,224251
3077,CONDOMINIUM,OCEAN SUMMIT CONDOMINIUM,OCEAN SUMMIT CONDOMINIUM,FT. LAUDERDALE,33308,BROWARD,241802
3078,COOPERATIVE,CARIBE INC OF BROWARD COUNTY,"CARIBE, INC. OF BROWARD COUNTY",LAUDERDALE BY THE SEA,33308,BROWARD,242709
3079,CONDOMINIUM,OCEAN BAY CLUB,OCEAN BAY CLUB CONDOMINIUM ASSSOCIATION INC.,LAUDERDALE BY THE SEA,33308,BROWARD,240372
3080,CONDOMINIUM,SEA RANCH CLUB A,SEA RANCH CLUB A,LAUDERDALE BY THE SEA,33308,BROWARD,221604
3081,CONDOMINIUM,SEA RANCH CLUB ASSN INC B,SEA RANCH CLUB ASSN INC B,LAUDERDALE BY THE SEA,33308,BROWARD,232028
3082,CONDOMINIUM,SEA RANCH CLUB CONDO. C,SEA RANCH CLUB CONDO. C,LAUDERDALE BY THE SEA,33308,BROWARD,287440
3084,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVES STUDY,"COSTA DEL SOL RESORT CONDOMINIUM ASSOCIATION, INC.",LAUDERDALE BY THE SEA,33308,BROWARD,286633
3085,CONDOMINIUM,VILLAS BY THE SEA,VILLAS BY THE SEA 1,LAUDERDALE BY THE SEA,33308,BROWARD,295895
3086,CONDOMINIUM,EL MAR CONDOMINIUM,EL MAR CONDOMINIUM,LAUDERDALE-BY-THE-SEA,33308,BROWARD,215491
3087,CONDOMINIUM,LEISURE MAR,LEISURE MAR CONDOMINIUM,LAUDERDALE-BY-THE-SEA,33308,BROWARD,219523
3088,CONDOMINIUM,VILLAS BY THE SEA 2,VILLAS BY THE SEA,LAUDERDALE-BY-THE-SEA,33308,BROWARD,295900
3089,CONDOMINIUM,VILLAS BY THE SEA 4,VILLAS BY THE SEA,LAUDERDALE-BY-THE-SEA,33308,BROWARD,295905
3090,CONDOMINIUM,VILLAS BY THE SEA 4,VILLAS BY THE SEA,LAUDERDALE-BY-THE-SEA,33308,BROWARD,295909
3091,CONDOMINIUM,SEA RANCH LAKES NORTH,CONDOMINIUM,LBTS,33308,BROWARD,252451
3092,CONDOMINIUM,CORAL LAKE TOWER,"CORAL LAKE TOWER ASSOCIATION, INC.",OAKLAND PARK,33308,BROWARD,206591
3093,CONDOMINIUM,CORAL LAKE TOWER,"CORAL LAKE TOWER ASSOCIATION, INC.",OAKLAND PARK,33308,BROWARD,206598
3094,CONDOMINIUM,"TRADEWINDS CONDOMINIUM ASSOCIATION,INC","TRADEWINDS CONDOMINIUM ASSOCIATION, INC.",FORT LAUDERDALE,33309,BROWARD,240744
3096,CONDOMINIUM,LAKE POINTE CONDO NO 3 BLDG 205 & 207,"LAKE POINTE OWNERS ASSOCIATION, INC.",OAKLAND PARK,33309,BROWARD,230221
3097,CONDOMINIUM,"LAKE POINTE CONDO NO FOUR, BLDG 206 AND208","LAKE POINTE OWNERS ASSOCIATION, INC.",OAKLAND PARK,33309,BROWARD,230229
3098,CONDOMINIUM,LAKE POINTE CONDO NO. EIGHT,"LAKE POINTE OWNERS ASSOCIATION, INC.",OAKLAND PARK,33309,BROWARD,230256
3099,CONDOMINIUM,LAKE POINTE CONDO NO. FIVE,"LAKE POINTE OWNERS ASSOCIATION, INC.",OAKLAND PARK,33309,BROWARD,230234
3101,CONDOMINIUM,LAKE POINTE CONDO NO. SEVEN BLDG. 212 & 213,"LAKE POINTE OWNERS ASSOCIATION, INC.",OAKLAND PARK,33309,BROWARD,230248
3102,CONDOMINIUM,LAKE POINTE CONDO NO. SIX BLDG 218 & 217,"LAKE POINTE OWNERS ASSOCIATION, INC.",OAKLAND PARK,33309,BROWARD,230242
3103,CONDOMINIUM,"LAKE POINTE CONDO NO. TWO, BLDG. 203 & 204","LAKE POINTE OWNERS ASSOCIATION, INC.",OAKLAND PARK,33309,BROWARD,230213
3104,CONDOMINIUM,LAKEVIEW CLUB CONDOMINIUM ASSOCIATION,LAKEVIEW CLUB CONDOMINIUM ASSOCIATION,OAKLAND PARK,33309,BROWARD,235669
3106,CONDOMINIUM,ROYAL PARK CONDOMINIUM APARTMENTS,"ROYAL PARK CONDOMINIUM APARTMENTS, INC.",OAKLAND PARK,33309,BROWARD,239732
3107,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVE STUDY,SAILBOAT POINTE CONDOMINIUM,OAKLAND PARK,33309,BROWARD,236627
3108,CONDOMINIUM,HIDDEN HARBOUR CONDO,"HIDDEN HARBOUR CONDO. ASSN., INC",FORT LAUDERDALE,33311,BROWARD,249272
3109,CONDOMINIUM,OCEAN SUMMIT CONDOMINIUM,OCEAN SUMMIT CONDOMINIUM,FT. LAUDERDALE,33311,BROWARD,201196
3110,CONDOMINIUM,"TENNIS CLUB II COURTS CONDOMINIUM ASSOCIATION, INC.","TENNIS CLUB II COURTS CONDOMINIUM ASSOCIATION, INC.",FT. LAUDERDALE,33311,BROWARD,232789
3111,CONDOMINIUM,SOMERSET CONDO #2,SOMERSET CONDO #2,LAUDERDALE LAKES,33311,BROWARD,248453
3112,CONDOMINIUM,SOMERSET CONDO #7,SOMERSET CONDO NO SEVEN INC,LAUDERDALE LAKES,33311,BROWARD,248093
3113,CONDOMINIUM,SOMERSET CONDO #8,SOMERSET CONDOMINIUM NO. EIGHT INC.,LAUDERDALE LAKES,33311,BROWARD,249234
3114,CONDOMINIUM,SOMERSET CONDO NO FIVE INC,SOMERSET CONDO NO FIVE INC,LAUDERDALE LAKES,33311,BROWARD,242981
3115,CONDOMINIUM,RACQUET CLUB OF FT LAUDERDALE,"THE RACQUET CLUB OF FORT LAUDERDALE ASSOCIATION, INC.",OAKLAND PARK,33311,BROWARD,236311
3116,CONDOMINIUM,"THE RACQUET CLUB OF FORT LAUDERDALE ASSOCIATION, INC.",RACQUET CLUB OF FT LAUDERDALE,OAKLAND PARK,33311,BROWARD,250314
3117,CONDOMINIUM,"WILTON SHORES EAST CONDOMINIUM ASSOCIATION, INC.","WILTON SHORES EAST CONDOMINIUM ASSOCIATION, INC.",WILTON MANORS,33311,BROWARD,294478
3118,CONDOMINIUM,SYMPHONY NORTH ASSOCIATION,SYMPHONY NORTH ASSOCIATION,FT LAUDARDALE,33312,BROWARD,259190
3119,CONDOMINIUM,SYMPHONY SOUTH ASSOCIATION,SYMPHONY SOUTH ASSOCIATION,FT LAUDARDALE,33312,BROWARD,259187
3120,CONDOMINIUM,CYPRESS CHASE CONDOMINIUM ASSOCIATION - MICHAEL CAPOVANI,CYPRESS CHASE CONDOMINIUM ASSOCIATION - MICHAEL CAPOVANI,LAUDERDALE LAKES,33313,BROWARD,287663
3121,CONDOMINIUM,KAHLUA GARDENS CONDO,"KAHLUA GARDENS CONDOMINIUM, INC.",LAUDERDALE LAKES,33313,BROWARD,299277
3122,CONDOMINIUM,LAUDERDALE OAKS CONDO 2,"LAUDERDALE OAKS CONDOMINIUM II, INC.",LAUDERDALE LAKES,33313,BROWARD,286489
3123,CONDOMINIUM,"LAUDERDALE OAKS CONDO XV, INC.","LAUDERDALE OAKS CONDO XV, INC.",LAUDERDALE LAKES,33313,BROWARD,248445
3124,CONDOMINIUM,"LAUDERDALE OAKS CONDOMINIUM 4, INC",LAUDERDALE OAKS CONDOMINIUM ASSOCIATION,LAUDERDALE LAKES,33313,BROWARD,248971
3125,CONDOMINIUM,"LAUDERDALE OAKS CONDOMINIUM XII, INC.","LAUDERDALE OAKS CONDOMINIUM 12, INC.",LAUDERDALE LAKES,33313,BROWARD,234744
3126,CONDOMINIUM,"LAUDERDALE OAKS CONDOMINIUM XII, INC.","LAUDERDALE OAKS CONDOMINIUM XII, INC.",LAUDERDALE LAKES,33313,BROWARD,233197
3127,CONDOMINIUM,NARCISSUS GARDENS CONDO,NARCISSUS GARDENS CONDO INC,LAUDERDALE LAKES,33313,BROWARD,309320
3128,CONDOMINIUM,PETUNIA GARDENS CONDO,"PETUNIA GARDENS CONDOMINIUM, INC",LAUDERDALE LAKES,33313,BROWARD,220676
3129,CONDOMINIUM,QUINSANA GARDENS CONDO INC.,QUINSANA GARDENS CONDO INC.,LAUDERDALE LAKES,33313,BROWARD,248513
3130,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVES STUDY REPORT,LAUDERDALE OAKS CONDOMINIUM 6,LAUDERDALE LAKES,33313,BROWARD,235860
3131,CONDOMINIUM,SUNFLOWER GARDENS,"SUNFLOWER GARDENS CONDOMINIUM, INC",LAUDERDALE LAKES,33313,BROWARD,220679
3132,CONDOMINIUM,_,CASTLE GARDEN 12,LAUDERHILL,33313,BROWARD,252008
3133,CONDOMINIUM,ASHLEY HALL CONDOMINIUM,ASHLEY HALL CONDOMINIUM,LAUDERHILL,33313,BROWARD,251781
