,neighborhood,borough,Quarter/Year,property_group,trd_doc_classification,SUM of doc_amount,MEDIAN of doc_amount,AVERAGE of doc_amount,SUM of bbl_count,year
1654,East New York,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$8,233,000","$1,130,000","$1,176,143",7,2025
1661,East New York,Brooklyn,Q3 2025,Land,Commercial,"$350,000","$350,000","$350,000",1,2025
1662,East New York,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$8,301,211","$796,250","$830,121",10,2025
1663,East New York,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$8,998,853","$1,024,995","$1,124,857",8,2025
1666,East New York,Brooklyn,Q4 2024,Mixed-Use,Commercial,"$1,300,000","$650,000","$650,000",2,2024
1667,East New York,Brooklyn,Q4 2024,Multi-Family Dwelling,Commercial,"$1,820,000","$910,000","$910,000",2,2024
1669,East New York,Brooklyn,Q4 2024,Single-Family Home,Commercial,"$1,895,000","$947,500","$947,500",2,2024
1671,East New York,Brooklyn,Q4 2025,Condo,Commercial,"$97,741,183","$97,741,183","$97,741,183",1,2025
1673,East New York,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$14,352,288","$920,000","$1,104,022",13,2025
1674,East New York,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$11,375,000","$1,220,000","$1,625,000",7,2025
1676,East New York,Brooklyn,Q4 2025,Office,Commercial,"$1,050,000","$1,050,000","$1,050,000",1,2025
1677,East New York,Brooklyn,Q4 2025,Single-Family Home,Commercial,"$1,400,000","$1,400,000","$1,400,000",1,2025
1683,East Tremont,Bronx,Q2 2025,Multi-Family Dwelling,Commercial,"$955,000","$955,000","$955,000",1,2025
1685,East Tremont,Bronx,Q2 2025,Office,Commercial,"$4,000,000","$4,000,000","$4,000,000",1,2025
1687,East Tremont,Bronx,Q3 2025,Multi-Family Dwelling,Commercial,"$1,400,000","$1,400,000","$1,400,000",1,2025
1691,East Tremont,Bronx,Q4 2025,Multi-Family Dwelling,Commercial,"$1,625,000","$812,500","$812,500",2,2025
1696,East Village,Manhattan,Q1 2025,Multi-Family Dwelling,Commercial,"$28,875,000","$3,625,000","$5,775,000",5,2025
1699,East Village,Manhattan,Q1 2026,Multi-Family Dwelling,Commercial,"$66,750,000","$8,600,000","$9,535,714",7,2026
1703,East Village,Manhattan,Q2 2025,Multi-Family Dwelling,Commercial,"$17,900,000","$7,250,000","$5,966,667",3,2025
1706,East Village,Manhattan,Q3 2025,Co-op,Commercial,"$764,701","$764,701","$764,701",1,2025
1709,East Village,Manhattan,Q3 2025,Multi-Family Dwelling,Commercial,"$28,900,000","$9,400,000","$9,633,333",3,2025
1710,East Village,Manhattan,Q3 2025,Office,Commercial,"$3,550,000","$3,550,000","$3,550,000",1,2025
1715,East Village,Manhattan,Q4 2025,Multi-Family Dwelling,Commercial,"$46,860,245","$7,050,000","$7,810,041",6,2025
1716,East Williamsburg,Brooklyn,Q1 2022,Multi-Family Dwelling,Commercial,"$2,000,000","$2,000,000","$2,000,000",1,2022
1718,East Williamsburg,Brooklyn,Q1 2025,Condo,Commercial,"$7,000,000","$7,000,000","$7,000,000",1,2025
1720,East Williamsburg,Brooklyn,Q1 2025,Land,Commercial,"$4,500,000","$4,500,000","$4,500,000",1,2025
1721,East Williamsburg,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$16,500,000","$4,900,000","$5,500,000",3,2025
1722,East Williamsburg,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$26,220,000","$2,865,000","$3,745,714",7,2025
1726,East Williamsburg,Brooklyn,Q1 2026,Condo,Commercial,"$7,629,250","$3,814,625","$3,814,625",2,2026
1728,East Williamsburg,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$9,749,000","$2,249,500","$2,437,250",4,2026
1729,East Williamsburg,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$5,272,245","$1,510,000","$1,757,415",3,2026
1734,East Williamsburg,Brooklyn,Q2 2025,Condo,Commercial,"$18,518,519","$5,950,000","$6,172,840",3,2025
1736,East Williamsburg,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$7,325,000","$1,975,000","$1,831,250",4,2025
1737,East Williamsburg,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$11,972,688","$2,900,000","$3,990,896",3,2025
1741,East Williamsburg,Brooklyn,Q3 2025,Condo,Commercial,"$7,560,000","$3,780,000","$3,780,000",2,2025
1743,East Williamsburg,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$8,200,000","$4,100,000","$4,100,000",2,2025
1744,East Williamsburg,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$18,390,000","$3,575,000","$4,597,500",4,2025
1748,East Williamsburg,Brooklyn,Q4 2024,Mixed-Use,Commercial,"$800,000","$800,000","$800,000",1,2024
1749,East Williamsburg,Brooklyn,Q4 2024,Multi-Family Dwelling,Commercial,"$3,650,000","$1,825,000","$1,825,000",2,2024
1752,East Williamsburg,Brooklyn,Q4 2025,Condo,Commercial,"$5,272,498","$5,272,498","$5,272,498",1,2025
1754,East Williamsburg,Brooklyn,Q4 2025,Industrial,Commercial,"$450,000","$450,000","$450,000",1,2025
1755,East Williamsburg,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$10,745,000","$2,200,000","$2,149,000",5,2025
1760,East Williamsburg-Bushwick,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$4,320,750","$4,320,750","$4,320,750",1,2026
1764,East Williamsburg-Bushwick,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$11,975,000","$11,975,000","$11,975,000",1,2025
1766,East Williamsburg-Bushwick,Brooklyn,Q3 2025,Condo,Commercial,"$1,218,244","$609,122","$609,122",2,2025
1768,East Williamsburg-Bushwick,Brooklyn,Q3 2025,Industrial,Commercial,"$4,600,000","$4,600,000","$4,600,000",1,2025
1771,East Williamsburg-Bushwick,Brooklyn,Q4 2025,Industrial,Commercial,"$3,400,000","$3,400,000","$3,400,000",1,2025
1772,East Williamsburg-Bushwick,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$4,530,419","$2,265,210","$2,265,210",2,2025
1773,East Williamsburg-Bushwick,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$6,740,000","$2,450,000","$2,246,667",3,2025
1778,Eastchester,Bronx,Q1 2025,Office,Commercial,"$1,770,000","$1,770,000","$1,770,000",1,2025
1786,Eastchester,Bronx,Q4 2025,Industrial,Commercial,"$15,192,561","$15,192,561","$15,192,561",1,2025
1801,Edenwald,Bronx,Q4 2025,Multi-Family Dwelling,Commercial,"$805,000","$805,000","$805,000",1,2025
1803,Edenwald,Bronx,Q4 2025,Single-Family Home,Commercial,"$610,000","$610,000","$610,000",1,2025
1815,Edgemere,Queens,Q4 2025,Land,Commercial,"$7,500,000","$7,500,000","$7,500,000",1,2025
1816,Edgemere,Queens,Q4 2025,Multi-Family Dwelling,Commercial,"$775,000","$775,000","$775,000",1,2025
1827,Elm Park,Staten Island,Q1 2025,Mixed-Use,Commercial,"$615,000","$615,000","$615,000",1,2025
1840,Elmhurst,Queens,Q1 2025,Multi-Family Dwelling,Commercial,"$4,150,000","$2,075,000","$2,075,000",2,2025
1843,Elmhurst,Queens,Q1 2026,Co-op,Commercial,"$1,795,383","$1,795,383","$1,795,383",1,2026
1845,Elmhurst,Queens,Q1 2026,Condo,Commercial,"$515,000","$257,500","$257,500",2,2026
1847,Elmhurst,Queens,Q1 2026,Mixed-Use,Commercial,"$1,525,000","$1,525,000","$1,525,000",1,2026
1848,Elmhurst,Queens,Q1 2026,Multi-Family Dwelling,Commercial,"$5,800,000","$5,800,000","$5,800,000",1,2026
1852,Elmhurst,Queens,Q2 2025,Condo,Commercial,"$1,050,000","$525,000","$525,000",2,2025
1854,Elmhurst,Queens,Q2 2025,Mixed-Use,Commercial,"$1,905,963","$1,905,963","$1,905,963",1,2025
1855,Elmhurst,Queens,Q2 2025,Multi-Family Dwelling,Commercial,"$1,100,000","$1,100,000","$1,100,000",1,2025
1861,Elmhurst,Queens,Q3 2025,Mixed-Use,Commercial,"$3,050,000","$1,525,000","$1,525,000",2,2025
1862,Elmhurst,Queens,Q3 2025,Multi-Family Dwelling,Commercial,"$14,870,000","$2,000,000","$2,974,000",5,2025
1866,Elmhurst,Queens,Q4 2024,Condo,Commercial,"$800,000","$800,000","$800,000",1,2024
1868,Elmhurst,Queens,Q4 2024,Mixed-Use,Commercial,"$950,000","$950,000","$950,000",1,2024
1872,Elmhurst,Queens,Q4 2025,Condo,Commercial,"$1,315,000","$657,500","$657,500",2,2025
1874,Elmhurst,Queens,Q4 2025,Mixed-Use,Commercial,"$5,875,000","$1,350,000","$1,468,750",4,2025
1878,Eltingville,Staten Island,Q1 2025,Land,Commercial,"$460,000","$460,000","$460,000",1,2025
1880,Eltingville,Staten Island,Q1 2025,Office,Commercial,"$955,000","$955,000","$955,000",1,2025
1887,Eltingville,Staten Island,Q2 2025,Land,Commercial,"$822,500","$822,500","$822,500",1,2025
1888,Eltingville,Staten Island,Q2 2025,Multi-Family Dwelling,Commercial,"$2,175,000","$2,175,000","$2,175,000",1,2025
1908,Emerson Hill,Staten Island,Q2 2025,Land,Commercial,"$505,000","$505,000","$505,000",1,2025
1910,Emerson Hill,Staten Island,Q2 2025,Office,Commercial,"$2,350,000","$2,350,000","$2,350,000",1,2025
1914,Emerson Hill,Staten Island,Q3 2025,Multi-Family Dwelling,Commercial,"$1,231,500","$1,231,500","$1,231,500",1,2025
1916,Emerson Hill,Staten Island,Q3 2025,Retail,Commercial,"$2,050,000","$2,050,000","$2,050,000",1,2025
1919,Emerson Hill,Staten Island,Q4 2024,Land,Commercial,"$470,000","$470,000","$470,000",1,2024
1923,Emerson Hill,Staten Island,Q4 2025,Land,Commercial,"$400,000","$400,000","$400,000",1,2025
1925,Emerson Hill,Staten Island,Q4 2025,Office,Commercial,"$4,025,000","$4,025,000","$4,025,000",1,2025
1927,Far Rockaway,Queens,Q1 2025,Land,Commercial,"$21,691,870","$4,000,000","$5,422,968",4,2025
1928,Far Rockaway,Queens,Q1 2025,Multi-Family Dwelling,Commercial,"$1,050,000","$1,050,000","$1,050,000",1,2025
1930,Far Rockaway,Queens,Q1 2025,Office,Commercial,"$3,650,000","$3,650,000","$3,650,000",1,2025
1932,Far Rockaway,Queens,Q1 2026,Co-op,Commercial,"$3,229,485","$3,229,485","$3,229,485",1,2026
1935,Far Rockaway,Queens,Q1 2026,Land,Commercial,"$750,000","$750,000","$750,000",1,2026
1936,Far Rockaway,Queens,Q1 2026,Mixed-Use,Commercial,"$875,000","$875,000","$875,000",1,2026
1940,Far Rockaway,Queens,Q2 2025,Condo,Commercial,"$12,000,000","$12,000,000","$12,000,000",1,2025
1942,Far Rockaway,Queens,Q2 2025,Land,Commercial,"$5,370,000","$2,685,000","$2,685,000",2,2025
1943,Far Rockaway,Queens,Q2 2025,Multi-Family Dwelling,Commercial,"$84,258,226","$42,129,113","$42,129,113",2,2025
1950,Far Rockaway,Queens,Q3 2025,Multi-Family Dwelling,Commercial,"$2,900,000","$1,450,000","$1,450,000",2,2025
1957,Far Rockaway,Queens,Q4 2025,Land,Commercial,"$12,000,000","$6,000,000","$6,000,000",2,2025
1964,Fieldston,Bronx,Q1 2025,Single-Family Home,Commercial,"$2,725,000","$2,725,000","$2,725,000",1,2025
1969,Fieldston,Bronx,Q1 2026,Single-Family Home,Commercial,"$8,000,000","$8,000,000","$8,000,000",1,2026
1973,Fieldston,Bronx,Q2 2025,Single-Family Home,Commercial,"$2,350,000","$2,350,000","$2,350,000",1,2025
1983,Fifth Mad,Manhattan,Q1 2025,Condo,Commercial,"$355,000,000","$355,000,000","$355,000,000",1,2025
1987,Fifth Mad,Manhattan,Q3 2025,Condo,Commercial,"$43,600,000","$43,600,000","$43,600,000",1,2025
1998,Financial District,Manhattan,Q3 2025,Multi-Family Dwelling,Commercial,"$10,250,000","$10,250,000","$10,250,000",1,2025
2000,Financial District,Manhattan,Q4 2024,Condo,Commercial,"$6,650,137","$3,325,068","$3,325,068",2,2024
2004,Financial District,Manhattan,Q4 2025,Office,Commercial,"$70,000,000","$70,000,000","$70,000,000",1,2025
2007,Flatbush,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$5,380,000","$1,390,000","$1,345,000",4,2025
2008,Flatbush,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$950,000","$950,000","$950,000",1,2025
2013,Flatbush,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$8,521,100","$1,271,100","$1,704,220",5,2026
2014,Flatbush,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$11,250,000","$1,550,000","$2,812,500",4,2026
2018,Flatbush,Brooklyn,Q2 2025,Condo,Commercial,"$700,000","$700,000","$700,000",1,2025
2020,Flatbush,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$2,760,000","$1,380,000","$1,380,000",2,2025
2021,Flatbush,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$49,875,249","$1,550,000","$5,541,694",9,2025
2026,Flatbush,Brooklyn,Q3 2025,Condo,Commercial,"$41,000,000","$41,000,000","$41,000,000",1,2025
2028,Flatbush,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$3,475,000","$1,225,000","$1,158,333",3,2025
2029,Flatbush,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$4,690,000","$2,345,000","$2,345,000",2,2025
2031,Flatbush,Brooklyn,Q3 2025,Retail,Commercial,"$1,400,000","$1,400,000","$1,400,000",1,2025
2034,Flatbush,Brooklyn,Q4 2024,Mixed-Use,Commercial,"$2,400,000","$2,400,000","$2,400,000",1,2024
2038,Flatbush,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$4,712,000","$1,375,000","$1,570,667",3,2025
2039,Flatbush,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$8,135,213","$2,037,500","$2,033,803",4,2025
2043,Flatiron,Manhattan,Q1 2025,Co-op,Commercial,"$6,052,000","$6,052,000","$6,052,000",1,2025
2045,Flatiron,Manhattan,Q1 2025,Condo,Commercial,"$250,000","$250,000","$250,000",1,2025
2047,Flatiron,Manhattan,Q1 2025,Multi-Family Dwelling,Commercial,"$9,750,000","$9,750,000","$9,750,000",1,2025
2049,Flatiron,Manhattan,Q1 2026,Condo,Commercial,"$5,425,000","$2,712,500","$2,712,500",2,2026
2051,Flatiron,Manhattan,Q2 2025,Co-op,Commercial,"$3,800,000","$3,800,000","$3,800,000",1,2025
2053,Flatiron,Manhattan,Q2 2025,Condo,Commercial,"$8,450,000","$4,225,000","$4,225,000",2,2025
2056,Flatiron,Manhattan,Q3 2025,Co-op,Commercial,"$3,050,000","$3,050,000","$3,050,000",1,2025
2061,Flatiron,Manhattan,Q4 2025,Co-op,Commercial,"$2,000,000","$2,000,000","$2,000,000",1,2025
2063,Flatiron,Manhattan,Q4 2025,Condo,Commercial,"$8,500,000","$8,500,000","$8,500,000",1,2025
2065,Flatiron,Manhattan,Q4 2025,Mixed-Use,Commercial,"$9,294,075","$9,294,075","$9,294,075",1,2025
2069,Flatlands,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$550,000","$550,000","$550,000",1,2025
2071,Flatlands,Brooklyn,Q1 2025,Single-Family Home,Commercial,"$570,000","$570,000","$570,000",1,2025
2077,Flatlands,Brooklyn,Q2 2025,Mixed-Use,Commercial,"$1,182,631","$591,315","$591,315",2,2025
2081,Flatlands,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$950,000","$950,000","$950,000",1,2025
2090,Floral Park,Queens,Q1 2025,Single-Family Home,Commercial,"$1,328,000","$664,000","$664,000",2,2025
2101,Flushing,Queens,Q1 2025,Co-op,Commercial,"$2,935,000","$2,935,000","$2,935,000",1,2025
2103,Flushing,Queens,Q1 2025,Condo,Commercial,"$12,426,913","$1,699,913","$1,380,768",9,2025
2105,Flushing,Queens,Q1 2025,Industrial,Commercial,"$35,828,200","$35,828,200","$35,828,200",1,2025
2106,Flushing,Queens,Q1 2025,Mixed-Use,Commercial,"$3,180,000","$3,180,000","$3,180,000",1,2025
2110,Flushing,Queens,Q1 2026,Condo,Commercial,"$130,291,586","$600,000","$18,613,084",7,2026
2112,Flushing,Queens,Q1 2026,Industrial,Commercial,"$92,000,000","$92,000,000","$92,000,000",1,2026
2113,Flushing,Queens,Q1 2026,Mixed-Use,Commercial,"$2,250,000","$2,250,000","$2,250,000",1,2026
2116,Flushing,Queens,Q2 2025,Co-op,Commercial,"$395,000","$395,000","$395,000",1,2025
2118,Flushing,Queens,Q2 2025,Condo,Commercial,"$12,476,985","$764,891","$1,559,623",8,2025
2120,Flushing,Queens,Q2 2025,Multi-Family Dwelling,Commercial,"$1,720,000","$1,720,000","$1,720,000",1,2025
2124,Flushing,Queens,Q3 2025,Condo,Commercial,"$1,555,474","$445,484","$518,491",3,2025
2126,Flushing,Queens,Q3 2025,Mixed-Use,Commercial,"$2,165,000","$1,082,500","$1,082,500",2,2025
2127,Flushing,Queens,Q3 2025,Multi-Family Dwelling,Commercial,"$15,600,000","$15,600,000","$15,600,000",1,2025
2129,Flushing,Queens,Q3 2025,Office,Commercial,"$10,000,000","$10,000,000","$10,000,000",1,2025
2132,Flushing,Queens,Q4 2024,Condo,Commercial,"$1,020,000","$1,020,000","$1,020,000",1,2024
2137,Flushing,Queens,Q4 2025,Condo,Commercial,"$3,690,938","$985,000","$922,735",4,2025
2139,Flushing,Queens,Q4 2025,Mixed-Use,Commercial,"$6,310,000","$3,155,000","$3,155,000",2,2025
2140,Flushing,Queens,Q4 2025,Multi-Family Dwelling,Commercial,"$32,000,000","$32,000,000","$32,000,000",1,2025
2144,Fordham,Bronx,Q1 2025,Office,Commercial,"$4,925,012","$4,925,012","$4,925,012",1,2025
2146,Fordham,Bronx,Q1 2026,Multi-Family Dwelling,Commercial,"$2,200,000","$2,200,000","$2,200,000",1,2026
2149,Fordham,Bronx,Q2 2025,Multi-Family Dwelling,Commercial,"$1,000,000","$1,000,000","$1,000,000",1,2025
2153,Fordham,Bronx,Q3 2025,Multi-Family Dwelling,Commercial,"$13,300,000","$6,650,000","$6,650,000",2,2025
2164,Forest Hills,Queens,Q1 2025,Mixed-Use,Commercial,"$1,370,000","$1,370,000","$1,370,000",1,2025
2167,Forest Hills,Queens,Q1 2026,Co-op,Commercial,"$690,000","$345,000","$345,000",2,2026
2170,Forest Hills,Queens,Q1 2026,Mixed-Use,Commercial,"$3,080,000","$1,540,000","$1,540,000",2,2026
2171,Forest Hills,Queens,Q1 2026,Multi-Family Dwelling,Commercial,"$41,500,000","$20,750,000","$20,750,000",2,2026
2176,Forest Hills,Queens,Q2 2025,Mixed-Use,Commercial,"$2,950,000","$1,475,000","$1,475,000",2,2025
2178,Forest Hills,Queens,Q2 2025,Single-Family Home,Commercial,"$1,835,000","$1,835,000","$1,835,000",1,2025
2180,Forest Hills,Queens,Q3 2025,Co-op,Commercial,"$259,000","$259,000","$259,000",1,2025
2183,Forest Hills,Queens,Q3 2025,Mixed-Use,Commercial,"$1,200,000","$1,200,000","$1,200,000",1,2025
2188,Forest Hills,Queens,Q4 2024,Mixed-Use,Commercial,"$1,500,000","$1,500,000","$1,500,000",1,2024
2191,Forest Hills,Queens,Q4 2025,Co-op,Commercial,"$550,000","$550,000","$550,000",1,2025
2194,Forest Hills,Queens,Q4 2025,Multi-Family Dwelling,Commercial,"$5,518,568","$5,518,568","$5,518,568",1,2025
2199,Fort George,Manhattan,Q1 2026,Multi-Family Dwelling,Commercial,"$4,137,500","$4,137,500","$4,137,500",1,2026
2203,Fort George,Manhattan,Q3 2025,Multi-Family Dwelling,Commercial,"$19,510,000","$9,755,000","$9,755,000",2,2025
2207,Fort George,Manhattan,Q4 2025,Multi-Family Dwelling,Commercial,"$33,085,841","$3,180,000","$5,514,307",6,2025
2209,Fort Greene,Brooklyn,Q1 2025,Condo,Commercial,"$695,000","$695,000","$695,000",1,2025
2211,Fort Greene,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$1,850,000","$1,850,000","$1,850,000",1,2025
2212,Fort Greene,Brooklyn,Q1 2025,Multi-Family Dwelling,Commercial,"$14,760,036","$3,425,000","$3,690,009",4,2025
2217,Fort Greene,Brooklyn,Q1 2026,Mixed-Use,Commercial,"$3,000,000","$3,000,000","$3,000,000",1,2026
2218,Fort Greene,Brooklyn,Q1 2026,Multi-Family Dwelling,Commercial,"$5,850,000","$2,925,000","$2,925,000",2,2026
2220,Fort Greene,Brooklyn,Q1 2026,Office,Commercial,"$2,725,000","$2,725,000","$2,725,000",1,2026
2223,Fort Greene,Brooklyn,Q2 2025,Condo,Commercial,"$435,000","$435,000","$435,000",1,2025
2225,Fort Greene,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$20,590,000","$4,150,000","$5,147,500",4,2025
2230,Fort Greene,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$11,988,000","$2,794,000","$2,997,000",4,2025
2237,Fort Greene,Brooklyn,Q4 2025,Condo,Commercial,"$750,000","$750,000","$750,000",1,2025
2239,Fort Greene,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$2,650,000","$2,650,000","$2,650,000",1,2025
2240,Fort Greene,Brooklyn,Q4 2025,Multi-Family Dwelling,Commercial,"$1,250,000","$1,250,000","$1,250,000",1,2025
2249,Fresh Meadows,Queens,Q2 2025,Mixed-Use,Commercial,"$1,325,000","$1,325,000","$1,325,000",1,2025
2259,Garment District,Manhattan,Q1 2025,Co-op,Commercial,"$5,300,000","$2,650,000","$2,650,000",2,2025
2261,Garment District,Manhattan,Q1 2025,Condo,Commercial,"$880,000","$880,000","$880,000",1,2025
2263,Garment District,Manhattan,Q1 2025,Office,Commercial,"$75,250,000","$75,250,000","$75,250,000",1,2025
2266,Garment District,Manhattan,Q1 2026,Multi-Family Dwelling,Commercial,"$4,800,000","$4,800,000","$4,800,000",1,2026
2267,Garment District,Manhattan,Q2 2025,Co-op,Commercial,"$649,058","$649,058","$649,058",1,2025
2273,Garment District,Manhattan,Q3 2025,Condo,Commercial,"$2,439,300","$2,439,300","$2,439,300",1,2025
2275,Garment District,Manhattan,Q3 2025,Mixed-Use,Commercial,"$4,100,000","$4,100,000","$4,100,000",1,2025
2277,Garment District,Manhattan,Q4 2024,Condo,Commercial,"$1,096,290","$1,096,290","$1,096,290",1,2024
2279,Garment District,Manhattan,Q4 2025,Co-op,Commercial,"$3,100,000","$3,100,000","$3,100,000",1,2025
2281,Garment District,Manhattan,Q4 2025,Condo,Commercial,"$46,641,498","$6,000,000","$15,547,166",3,2025
2284,Gerritsen Beach,Brooklyn,Q1 2025,Single-Family Home,Commercial,"$785,000","$785,000","$785,000",1,2025
2288,Gerritsen Beach,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$550,000","$550,000","$550,000",1,2025
2290,Gerritsen Beach,Brooklyn,Q2 2025,Single-Family Home,Commercial,"$1,015,000","$507,500","$507,500",2,2025
2292,Gerritsen Beach,Brooklyn,Q3 2025,Mixed-Use,Commercial,"$1,100,000","$1,100,000","$1,100,000",1,2025
2295,Gerritsen Beach,Brooklyn,Q4 2024,Single-Family Home,Commercial,"$680,000","$680,000","$680,000",1,2024
2298,Gerritsen Beach,Brooklyn,Q4 2025,Single-Family Home,Commercial,"$1,809,000","$904,500","$904,500",2,2025
2301,Glen Oaks Village,Queens,Q1 2025,Co-op,Commercial,"$385,000","$385,000","$385,000",1,2025
2308,Glen Oaks Village,Queens,Q2 2024,Multi-Family Dwelling,Commercial,"$2,093,000","$2,093,000","$2,093,000",1,2024
2320,Glendale,Queens,Q1 2024,Multi-Family Dwelling,Commercial,"$1,530,000","$1,530,000","$1,530,000",1,2024
2322,Glendale,Queens,Q1 2025,Mixed-Use,Commercial,"$4,275,000","$1,100,000","$1,068,750",4,2025
2323,Glendale,Queens,Q1 2025,Multi-Family Dwelling,Commercial,"$5,198,000","$1,325,000","$1,299,500",4,2025
2325,Glendale,Queens,Q1 2025,Single-Family Home,Commercial,"$920,000","$920,000","$920,000",1,2025
2329,Glendale,Queens,Q1 2026,Industrial,Commercial,"$3,700,000","$3,700,000","$3,700,000",1,2026
2330,Glendale,Queens,Q1 2026,Mixed-Use,Commercial,"$1,918,000","$959,000","$959,000",2,2026
2331,Glendale,Queens,Q1 2026,Multi-Family Dwelling,Commercial,"$1,590,000","$795,000","$795,000",2,2026
2335,Glendale,Queens,Q2 2025,Condo,Commercial,"$6,000,000","$6,000,000","$6,000,000",1,2025
2337,Glendale,Queens,Q2 2025,Mixed-Use,Commercial,"$3,500,000","$1,750,000","$1,750,000",2,2025
2338,Glendale,Queens,Q2 2025,Multi-Family Dwelling,Commercial,"$999,000","$999,000","$999,000",1,2025
2343,Glendale,Queens,Q3 2025,Industrial,Commercial,"$3,400,000","$3,400,000","$3,400,000",1,2025
2344,Glendale,Queens,Q3 2025,Mixed-Use,Commercial,"$5,400,000","$1,125,000","$1,350,000",4,2025
2349,Glendale,Queens,Q4 2024,Mixed-Use,Commercial,"$1,200,000","$1,200,000","$1,200,000",1,2024
2350,Glendale,Queens,Q4 2024,Multi-Family Dwelling,Commercial,"$2,471,000","$1,235,500","$1,235,500",2,2024
2354,Glendale,Queens,Q4 2025,Mixed-Use,Commercial,"$1,664,900","$832,450","$832,450",2,2025
2355,Glendale,Queens,Q4 2025,Multi-Family Dwelling,Commercial,"$9,070,858","$1,310,000","$1,295,837",7,2025
2359,Gowanus,Brooklyn,Q1 2025,Mixed-Use,Commercial,"$1,555,000","$1,555,000","$1,555,000",1,2025
2365,Gowanus,Brooklyn,Q2 2025,Multi-Family Dwelling,Commercial,"$32,100,000","$32,100,000","$32,100,000",1,2025
2370,Gowanus,Brooklyn,Q3 2025,Multi-Family Dwelling,Commercial,"$1,500,000","$1,500,000","$1,500,000",1,2025
2375,Gowanus,Brooklyn,Q4 2025,Industrial,Commercial,"$4,500,000","$4,500,000","$4,500,000",1,2025
2376,Gowanus,Brooklyn,Q4 2025,Land,Commercial,"$24,000,000","$24,000,000","$24,000,000",1,2025
2377,Gowanus,Brooklyn,Q4 2025,Mixed-Use,Commercial,"$1,725,000","$1,725,000","$1,725,000",1,2025
2379,Gramercy Park,Manhattan,Q1 2025,Co-op,Commercial,"$3,135,571","$1,567,785","$1,567,785",2,2025
2383,Gramercy Park,Manhattan,Q1 2026,Condo,Commercial,"$3,500,000","$3,500,000","$3,500,000",1,2026
2388,Gramercy Park,Manhattan,Q2 2025,Multi-Family Dwelling,Commercial,"$14,554,000","$3,400,000","$4,851,333",3,2025
2391,Gramercy Park,Manhattan,Q3 2025,Co-op,Commercial,"$670,000","$670,000","$670,000",1,2025
2394,Gramercy Park,Manhattan,Q3 2025,Multi-Family Dwelling,Commercial,"$22,735,000","$5,300,000","$7,578,333",3,2025
2397,Gramercy Park,Manhattan,Q4 2024,Multi-Family Dwelling,Commercial,"$6,019,500","$6,019,500","$6,019,500",1,2024
2400,Gramercy Park,Manhattan,Q4 2025,Mixed-Use,Commercial,"$2,800,000","$2,800,000","$2,800,000",1,2025
2401,Gramercy Park,Manhattan,Q4 2025,Multi-Family Dwelling,Commercial,"$22,200,000","$11,100,000","$11,100,000",2,2025
2404,Grand Central,Manhattan,Q1 2025,Office,Commercial,"$161,274,400","$161,274,400","$161,274,400",1,2025
2406,Grand Central,Manhattan,Q2 2025,Condo,Commercial,"$85,000,000","$85,000,000","$85,000,000",1,2025
2409,Grand Central,Manhattan,Q3 2025,Office,Commercial,"$135,000,000","$135,000,000","$135,000,000",1,2025
2412,Grand Central,Manhattan,Q4 2025,Office,Commercial,"$328,000,000","$50,000,000","$109,333,333",3,2025
